sample	PI	Race	feature	cutoff	genetic_load	n_del	feature_bp	genetic_load_per_kb	n_del_per_kb
PI576364_PI576364	PI576364	Durra	downstream_2kb	5%	4917.46352	735	34254144	0.143558207731012	0.0214572578430219
PI576366_PI576366	PI576366	Milo/Durra-Bicolor	downstream_2kb	5%	5025.67556	742	34254144	0.146717301124209	0.0216616126796221
PI576373_PI576373	PI576373	Durra	downstream_2kb	5%	4547.00613	674	34254144	0.132743242102328	0.0196764514097915
PI576375_PI576375	PI576375	Guinea	downstream_2kb	5%	5388.00158	796	34254144	0.157294883211795	0.0232380642762522
PI576376_PI576376	PI576376	Guinea	downstream_2kb	5%	5292.87407	787	34254144	0.154517773674333	0.0229753223434805
PI576380_PI576380	PI576380	Bicolor	downstream_2kb	5%	4577.27711	685	34254144	0.13362695941256	0.0199975804387347
PI576381_PI576381	PI576381	Guinea	downstream_2kb	5%	6008.80356	891	34254144	0.17541829566665	0.0260114513443979
PI576385_PI576385	PI576385	Caudatum	downstream_2kb	5%	4941.76322	736	34254144	0.144267602191431	0.0214864513911076
PI576386_PI576386	PI576386	Milo/Durra-Bicolor	downstream_2kb	5%	4680.10594	691	34254144	0.136628897805766	0.0201727417272491
PI576387_PI576387	PI576387	Milo/Durra-Bicolor	downstream_2kb	5%	4436.07087	664	34254144	0.129504648255113	0.019384515928934
PI576390_PI576390	PI576390	Guinea	downstream_2kb	5%	5641.91286	826	34254144	0.164707454373988	0.0241138707188246
PI576391_PI576391	PI576391	Guinea	downstream_2kb	5%	5752.64178	849	34254144	0.16794002442449	0.0247853223247967
PI576393_PI576393	PI576393	Milo/Durra-Bicolor	downstream_2kb	5%	4084.69652	605	34254144	0.119246784272291	0.0176620965918751
PI576394_PI576394	PI576394	Durra	downstream_2kb	5%	4743.57613	704	34254144	0.138481817849543	0.0205522578523638
PI576396_PI576396	PI576396	Milo/Durra-Bicolor	downstream_2kb	5%	4313.73339	636	34254144	0.125933183150045	0.0185670965825332
PI576399_PI576399	PI576399	Milo/Durra-Bicolor	downstream_2kb	5%	4778.99159	706	34254144	0.139515720784031	0.0206106449485353
PI576401_PI576401	PI576401	Guinea	downstream_2kb	5%	5939.09189	883	34254144	0.173383164676367	0.025777902959712
PI576418_PI576418	PI576418	Caudatum	downstream_2kb	5%	4620.51696	691	34254144	0.134889284052756	0.0201727417272491
PI576422_PI576422	PI576422	Durra	downstream_2kb	5%	4837.25156	719	34254144	0.1412165360197	0.02099016107365
PI576425_PI576425	PI576425	Guinea	downstream_2kb	5%	5449.96368	812	34254144	0.159103776757638	0.0237051610456241
PI576426_PI576426	PI576426	Guinea	downstream_2kb	5%	5706.47805	843	34254144	0.166592341352918	0.0246101610362822
PI576428_PI576428	PI576428	Bicolor	downstream_2kb	5%	4592.45059	683	34254144	0.134069927130569	0.0199391933425632
PI576434_PI576434	PI576434	Milo/Durra-Bicolor	downstream_2kb	5%	4408.93287	653	34254144	0.128712393747162	0.0190633868999908
PI576435_PI576435	PI576435	Milo/Durra-Bicolor	downstream_2kb	5%	4844.02635	717	34254144	0.141414316177336	0.0209317739774785
PI576437_PI576437	PI576437	Milo/Durra-Bicolor	downstream_2kb	5%	4709.6384	691	34254144	0.137491055096867	0.0201727417272491
PI585291_PI585291	PI585291	Bicolor	downstream_2kb	5%	5056.12536	751	34254144	0.14760623882471	0.0219243546123938
PI585295_PI585295	PI585295	Caudatum	downstream_2kb	5%	4473.7953	662	34254144	0.130605958216326	0.0193261288327625
PI595699_PI595699	PI595699	Guinea	downstream_2kb	5%	5488.98561	816	34254144	0.160242965347492	0.0238219352379671
PI595702_PI595702	PI595702	Durra	downstream_2kb	5%	4866.70268	719	34254144	0.142076318707599	0.02099016107365
PI595714_PI595714	PI595714	Milo/Durra-Bicolor	downstream_2kb	5%	4319.8908	641	34254144	0.126112939794963	0.0187130643229619
PI595718_PI595718	PI595718	Milo/Durra-Bicolor	downstream_2kb	5%	4595.91478	684	34254144	0.134171059127912	0.0199683868906489
PI595720_PI595720	PI595720	Guinea	downstream_2kb	5%	5338.96638	797	34254144	0.155863371742701	0.023267257824338
PI595739_PI595739	PI595739	Milo/Durra-Bicolor	downstream_2kb	5%	4363.59675	653	34254144	0.127388871547921	0.0190633868999908
PI595740_PI595740	PI595740	Milo/Durra-Bicolor	downstream_2kb	5%	4778.6517	705	34254144	0.139505798188972	0.0205814514004495
PI595741_PI595741	PI595741	Caudatum	downstream_2kb	5%	4910.61834	732	34254144	0.143358372639526	0.0213696771987646
PI595743_PI595743	PI595743	Caudatum	downstream_2kb	5%	5401.68013	804	34254144	0.157694208618963	0.0234716126609382
PI595744_PI595744	PI595744	Kafir	downstream_2kb	5%	5113.42811	747	34254144	0.14927910941228	0.0218075804200508
PI595745_PI595745	PI595745	Milo/Durra-Bicolor	downstream_2kb	5%	4310.97464	646	34254144	0.125852645449263	0.0188590320633906
PI597945_PI597945	PI597945	Guinea	downstream_2kb	5%	4779.69529	713	34254144	0.139536264283819	0.0208149997851355
PI597946_PI597946	PI597946	Milo/Durra-Bicolor	downstream_2kb	5%	4333.30748	645	34254144	0.126504620287694	0.0188298385153049
PI597949_PI597949	PI597949	Durra	downstream_2kb	5%	4780.99127	702	34254144	0.139574098538267	0.0204938707561923
PI597950_PI597950	PI597950	Milo/Durra-Bicolor	downstream_2kb	5%	5151.17783	765	34254144	0.150381157678324	0.0223330642855942
PI597951_PI597951	PI597951	Caudatum	downstream_2kb	5%	4768.17309	713	34254144	0.139199890384066	0.0208149997851355
PI597952_PI597952	PI597952	Guinea	downstream_2kb	5%	5029.81127	749	34254144	0.146838037172962	0.0218659675162223
PI597957_PI597957	PI597957	Guinea	downstream_2kb	5%	4725.27312	707	34254144	0.137947488046994	0.020639838496621
PI597958_PI597958	PI597958	Durra	downstream_2kb	5%	5171.04382	761	34254144	0.150961116412659	0.0222162900932512
PI597960_PI597960	PI597960	Caudatum	downstream_2kb	5%	4123.20412	622	34254144	0.120370957744558	0.0181583869093328
PI597961_PI597961	PI597961	Milo/Durra-Bicolor	downstream_2kb	5%	4308.98903	641	34254144	0.125794678448248	0.0187130643229619
PI597964_PI597964	PI597964	Bicolor	downstream_2kb	5%	4392.65599	653	34254144	0.128237213868197	0.0190633868999908
PI597965_PI597965	PI597965	Milo/Durra-Bicolor	downstream_2kb	5%	4403.10116	653	34254144	0.128542145440855	0.0190633868999908
PI597966_PI597966	PI597966	Milo/Durra-Bicolor	downstream_2kb	5%	4588.88921	675	34254144	0.133965957812287	0.0197056449578772
PI597967_PI597967	PI597967	Bicolor	downstream_2kb	5%	4517.97719	668	34254144	0.13189578434656	0.019501290121277
