sample	group	cutoff_lab	Genetic_load_sum	n_chr_rows	Abs_genetic_load
V55	improved	5%	-273738.1715129	17	273738.1715129
V56	improved	5%	-330845.4945851	17	330845.4945851
V57	improved	5%	-279939.2520698	17	279939.2520698
V58	improved	5%	-325805.0891687	17	325805.0891687
V59	improved	5%	-367382.7183002	17	367382.7183002
V60	improved	5%	-501878.917051	17	501878.917051
V61	improved	5%	-360408.530241	17	360408.530241
V62	improved	5%	-378343.7180235	17	378343.7180235
V63	improved	5%	-403403.8713167	17	403403.8713167
V64	improved	5%	-318904.9136498	17	318904.9136498
V65	improved	5%	-470785.5311082	17	470785.5311082
V66	improved	5%	-341182.7901742	17	341182.7901742
V67	improved	5%	-375687.1928685	17	375687.1928685
V68	improved	5%	-430019.6460615	17	430019.6460615
V69	improved	5%	-341944.5346949	17	341944.5346949
V70	improved	5%	-455117.0815285	17	455117.0815285
V71	improved	5%	-426057.8021423	17	426057.8021423
V72	improved	5%	-340973.6073116	17	340973.6073116
V73	improved	5%	-472472.1999929	17	472472.1999929
V74	improved	5%	-392638.4806256	17	392638.4806256
V75	improved	5%	-537027.4824342	17	537027.4824342
V76	improved	5%	-436230.2139309	17	436230.2139309
V77	improved	5%	-463681.51808	17	463681.51808
V78	improved	5%	-268401.7262477	17	268401.7262477
V79	improved	5%	-448890.395017	17	448890.395017
V80	improved	5%	-320770.7916934	17	320770.7916934
V81	improved	5%	-398684.9430856	17	398684.9430856
V82	improved	5%	-315362.0303227	17	315362.0303227
V83	improved	5%	-549054.4690933	17	549054.4690933
V84	improved	5%	-439743.5443636	17	439743.5443636
V85	improved	5%	-362411.3460747	17	362411.3460747
V86	improved	5%	-399565.8831627	17	399565.8831627
V87	improved	5%	-512425.9847187	17	512425.9847187
V88	improved	5%	-495755.0090257	17	495755.0090257
V89	improved	5%	-359008.2342343	17	359008.2342343
V90	improved	5%	-386095.7490346	17	386095.7490346
V91	improved	5%	-281304.8169489	17	281304.8169489
V92	improved	5%	-388297.2980341	17	388297.2980341
V93	improved	5%	-242844.0694989	17	242844.0694989
V94	improved	5%	-281359.9179866	17	281359.9179866
