"Cluster" "genotype"
"guinea" "PI656105"
"guinea" "PI656106"
"guinea" "PI656111"
"guinea" "PI656116"
"guinea" "PI656118"
"guinea" "PI656120"
"guinea" "PI656121"
"guinea" "PI659694"
"guinea" "PI659696"
"milo/durra-bicolor" "PI276837"
"milo/durra-bicolor" "PI329435"
"milo/durra-bicolor" "PI533794"
"milo/durra-bicolor" "PI533799"
"milo/durra-bicolor" "PI533800"
"milo/durra-bicolor" "PI533991"
"milo/durra-bicolor" "PI534115"
"milo/durra-bicolor" "PI534157"
"milo/durra-bicolor" "PI552856"
"milo/durra-bicolor" "PI561472"
"milo/durra-bicolor" "PI564165"
"milo/durra-bicolor" "PI565121"
"milo/durra-bicolor" "PI576130"
"milo/durra-bicolor" "PI576380"
"milo/durra-bicolor" "PI576428"
"milo/durra-bicolor" "PI585291"
"milo/durra-bicolor" "PI597964"
"milo/durra-bicolor" "PI597967"
"milo/durra-bicolor" "PI601816"
"milo/durra-bicolor" "PI642791"
"milo/durra-bicolor" "PI651492"
"milo/durra-bicolor" "PI655977"
"milo/durra-bicolor" "PI656000"
"milo/durra-bicolor" "PI656001"
"milo/durra-bicolor" "PI656008"
"milo/durra-bicolor" "PI656011"
"milo/durra-bicolor" "PI656016"
"milo/durra-bicolor" "PI656024"
"milo/durra-bicolor" "PI656026"
"milo/durra-bicolor" "PI656034"
"milo/durra-bicolor" "PI656036"
"milo/durra-bicolor" "PI656037"
"milo/durra-bicolor" "PI656039"
"milo/durra-bicolor" "PI656043"
"milo/durra-bicolor" "PI656044"
"milo/durra-bicolor" "PI656048"
"milo/durra-bicolor" "PI656051"
"milo/durra-bicolor" "PI656053"
"milo/durra-bicolor" "PI656055"
"milo/durra-bicolor" "PI656056"
"milo/durra-bicolor" "PI656059"
"milo/durra-bicolor" "PI656062"
"milo/durra-bicolor" "PI656068"
"milo/durra-bicolor" "PI656076"
"milo/durra-bicolor" "PI659691"
"mixed/bicolor" "PI24969"
"mixed/bicolor" "PI533750"
"mixed/bicolor" "PI533754"
"mixed/bicolor" "PI533788"
"mixed/bicolor" "PI533810"
"mixed/bicolor" "PI533814"
"mixed/bicolor" "PI533824"
"mixed/bicolor" "PI533830"
"mixed/bicolor" "PI533842"
"mixed/bicolor" "PI533843"
"mixed/bicolor" "PI533852"
"mixed/bicolor" "PI533856"
"mixed/bicolor" "PI533919"
"mixed/bicolor" "PI533921"
"mixed/bicolor" "PI533943"
"mixed/bicolor" "PI534009"
"mixed/bicolor" "PI534021"
"mixed/bicolor" "PI534028"
"mixed/bicolor" "PI534123"
"mixed/bicolor" "PI534127"
"mixed/bicolor" "PI534128"
"mixed/bicolor" "PI534132"
"mixed/bicolor" "PI534133"
"mixed/bicolor" "PI534135"
"mixed/bicolor" "PI534137"
"mixed/bicolor" "PI534148"
"mixed/bicolor" "PI534155"
"mixed/bicolor" "PI534167"
"mixed/bicolor" "PI542718"
"mixed/bicolor" "PI562730"
"mixed/bicolor" "PI564164"
"mixed/bicolor" "PI576347"
"mixed/bicolor" "PI576348"
"mixed/bicolor" "PI576349"
"mixed/bicolor" "PI576359"
"mixed/bicolor" "PI576375"
"mixed/bicolor" "PI576376"
"mixed/bicolor" "PI576381"
"mixed/bicolor" "PI576390"
"mixed/bicolor" "PI576391"
"mixed/bicolor" "PI576401"
"mixed/bicolor" "PI576425"
"mixed/bicolor" "PI576426"
"mixed/bicolor" "PI595699"
"mixed/bicolor" "PI595720"
"mixed/bicolor" "PI597945"
"mixed/bicolor" "PI597952"
"mixed/bicolor" "PI597957"
"mixed/bicolor" "PI597972"
"mixed/bicolor" "PI597973"
"mixed/bicolor" "PI598069"
"mixed/bicolor" "PI598070"
"mixed/bicolor" "PI613536"
"mixed/bicolor" "PI629040"
"mixed/bicolor" "PI641874"
"mixed/bicolor" "PI642998"
"mixed/bicolor" "PI655971"
"mixed/bicolor" "PI655980"
"mixed/bicolor" "PI655986"
"mixed/bicolor" "PI655990"
"mixed/bicolor" "PI655995"
"mixed/bicolor" "PI655997"
"mixed/bicolor" "PI655999"
"mixed/bicolor" "PI656012"
"mixed/bicolor" "PI656013"
"mixed/bicolor" "PI656017"
"mixed/bicolor" "PI656021"
"mixed/bicolor" "PI656025"
"mixed/bicolor" "PI656029"
"mixed/bicolor" "PI656033"
"mixed/bicolor" "PI656041"
"mixed/bicolor" "PI656046"
"mixed/bicolor" "PI656047"
"mixed/bicolor" "PI656064"
"mixed/bicolor" "PI656066"
"mixed/bicolor" "PI656067"
"mixed/bicolor" "PI656072"
"mixed/bicolor" "PI656077"
"mixed/bicolor" "PI656082"
"mixed/bicolor" "PI656086"
"mixed/bicolor" "PI656088"
"mixed/bicolor" "PI656089"
"mixed/bicolor" "PI656091"
"mixed/bicolor" "PI656092"
"mixed/bicolor" "PI656097"
"mixed/bicolor" "PI656099"
"mixed/bicolor" "PI656100"
"mixed/bicolor" "PI656103"
"mixed/bicolor" "PI656108"
"mixed/bicolor" "PI656110"
"mixed/bicolor" "PI656113"
"mixed/bicolor" "PI656114"
"mixed/bicolor" "PI659695"
"mixed/bicolor" "PI659753"
