sample	sub	Genetic_load_sum	N_del_sum	n_chr_rows	Abs_genetic_load	Abs_per_Ndel
V43	landrace	-215224.9948026	27009	10	215224.9948026	7.96863989050317
V44	landrace	-231238.5442833	29005	10	231238.5442833	7.97236836005171
V45	landrace	-210580.9014831	26422	10	210580.9014831	7.9699077088449
V46	landrace	-239073.9808896	30003	10	239073.9808896	7.96833586273373
V47	landrace	-212711.4840825	26705	10	212711.4840825	7.96523063405729
V48	landrace	-208503.5482742	26122	10	208503.5482742	7.98191364651252
V49	landrace	-203451.0235494	25519	10	203451.0235494	7.97253119438066
V50	landrace	-174671.5558602	21910	10	174671.5558602	7.9722298430032
V51	landrace	-196462.804246	24659	10	196462.804246	7.9671845673385
V52	landrace	-234621.4070735	29446	10	234621.4070735	7.96785325930517
V53	landrace	-200562.1705622	25143	10	200562.1705622	7.97685918793302
V54	landrace	-215707.7319579	27093	10	215707.7319579	7.96175144715978
V55	landrace	-147208.7576865	18396	10	147208.7576865	8.00221557330398
V56	landrace	-212262.3966323	26697	10	212262.3966323	7.95079584343934
V57	landrace	-234397.9272805	29408	10	234397.9272805	7.97054975790601
V58	landrace	-169600.0158241	21301	10	169600.0158241	7.96206825144829
V59	landrace	-142247.6376732	17770	10	142247.6376732	8.00493177676984
V60	landrace	-169160.5147511	21261	10	169160.5147511	7.95637621706881
V61	landrace	-244626.962064	30767	10	244626.962064	7.95095271115156
V62	landrace	-166958.0784663	20943	10	166958.0784663	7.97202303711503
V63	landrace	-158794.1590967	19838	10	158794.1590967	8.00454476745136
V64	landrace	-235431.0995465	29620	10	235431.0995465	7.94838283411546
V65	landrace	-170275.6544919	21294	10	170275.6544919	7.99641469389969
V66	landrace	-180841.8701816	22575	10	180841.8701816	8.01071407227464
V67	landrace	-354382.0622477	44532	10	354382.0622477	7.95791929955313
V68	landrace	-242465.9841681	30379	10	242465.9841681	7.98136818750123
V69	landrace	-205742.0996393	25843	10	205742.0996393	7.96123126724065
V70	landrace	-157785.89831	19764	10	157785.89831	7.98350021807327
V71	landrace	-163374.1061216	20483	10	163374.1061216	7.97608290394962
V72	landrace	-250285.7220802	31409	10	250285.7220802	7.96859887548792
V73	landrace	-248966.8263354	31202	10	248966.8263354	7.97919448546247
V74	landrace	-238215.1137565	29868	10	238215.1137565	7.97559641611424
V75	landrace	-230648.919428	28895	10	230648.919428	7.98231249101921
V76	landrace	-231314.7378119	29026	10	231314.7378119	7.9692254465617
V77	landrace	-169299.7164533	21225	10	169299.7164533	7.97642951487868
V78	landrace	-235760.4268383	29610	10	235760.4268383	7.96218935624114
V79	landrace	-238690.1993972	29956	10	238690.1993972	7.96802641865403
V80	landrace	-218551.6908691	27438	10	218551.6908691	7.96529232703185
V81	landrace	-241758.4857243	30382	10	241758.4857243	7.95729332250346
V82	landrace	-235131.5127611	29484	10	235131.5127611	7.97488511603243
V83	landrace	-217266.8675155	27288	10	217266.8675155	7.96199309276972
V84	landrace	-253201.6285129	31830	10	253201.6285129	7.95481082352812
V85	landrace	-199271.802575	24980	10	199271.802575	7.9772539061249
V86	landrace	-227895.7832345	28551	10	227895.7832345	7.98205958581136
V87	landrace	-213212.6985119	26717	10	213212.6985119	7.98041316434854
V88	landrace	-237630.98281	29768	10	237630.98281	7.98276615190809
V89	landrace	-245211.6568593	30848	10	245211.6568593	7.94902933283519
V90	landrace	-168345.7025595	21094	10	168345.7025595	7.98073871999147
V91	landrace	-236107.9499259	29729	10	236107.9499259	7.9420078013354
V92	landrace	-203456.5891591	25592	10	203456.5891591	7.95000739133714
V93	landrace	-246291.4372322	30839	10	246291.4372322	7.98636263277668
V94	landrace	-171685.5126131	21589	10	171685.5126131	7.9524532221548
V95	landrace	-153760.3535817	19290	10	153760.3535817	7.97098774399689
V96	landrace	-139288.6212804	17386	10	139288.6212804	8.01153924309214
V97	landrace	-132818.4926263	16605	10	132818.4926263	7.99870476520927
V98	landrace	-160808.8724754	20203	10	160808.8724754	7.9596531443548
V99	landrace	-185810.0825951	23383	10	185810.0825951	7.94637482765685
V100	landrace	-196764.3275894	24721	10	196764.3275894	7.9594000076615
V101	landrace	-201048.183326	25255	10	201048.183326	7.96072790837458
V102	landrace	-186817.4497042	23528	10	186817.4497042	7.94021802551003
V103	landrace	-198408.7101227	24976	10	198408.7101227	7.94397462054372
V104	landrace	-217053.9086884	27268	10	217053.9086884	7.96002305590436
V105	landrace	-180896.5180061	22678	10	180896.5180061	7.97674036538055
V5	wild	-269708.9137608	34014	10	269708.9137608	7.92935008410655
V6	wild	-355276.1143394	44552	10	355276.1143394	7.97441448957174
V7	wild	-291402.2976548	36554	10	291402.2976548	7.97183065204355
V8	wild	-337480.8266785	42461	10	337480.8266785	7.94801880969596
V9	wild	-376761.9853728	47372	10	376761.9853728	7.95326322242675
V10	wild	-293371.7554574	36972	10	293371.7554574	7.93497120678892
V11	wild	-322990.1516216	40597	10	322990.1516216	7.95601033627115
V12	wild	-322252.9562627	40549	10	322252.9562627	7.94724792874547
V13	wild	-318806.8265987	40207	10	318806.8265987	7.92913737903101
V14	wild	-265438.1792008	33305	10	265438.1792008	7.96991980786068
V15	wild	-225930.7221281	28382	10	225930.7221281	7.96035241096822
V16	wild	-294965.8898009	37062	10	294965.8898009	7.95871485081485
V17	wild	-280897.3829572	35272	10	280897.3829572	7.96374980032887
V18	wild	-427158.2420785	53630	10	427158.2420785	7.96491221477718
V19	wild	-269942.997979	33851	10	269942.997979	7.97444678086319
V20	wild	-376447.9947389	47324	10	376447.9947389	7.95469518085749
V21	wild	-393631.4587557	49493	10	393631.4587557	7.95327538754369
V22	wild	-438313.4005675	55175	10	438313.4005675	7.94405800756683
V23	wild	-269224.9989933	33841	10	269224.9989933	7.95558638909311
V24	wild	-255011.7208454	32042	10	255011.7208454	7.95867052135947
V25	wild	-230531.8499087	28973	10	230531.8499087	7.95678217335796
V26	wild	-317837.8815843	39968	10	317837.8815843	7.95230888671687
V27	wild	-261087.6351184	32838	10	261087.6351184	7.95077760881905
V28	wild	-266262.501517	33476	10	266262.501517	7.95383264180308
V29	wild	-330850.3406586	41549	10	330850.3406586	7.96289539239452
V30	wild	-414688.5487517	52141	10	414688.5487517	7.95321433711858
V31	wild	-411209.7826276	51713	10	411209.7826276	7.95176807819311
V32	wild	-257516.4769071	32297	10	257516.4769071	7.97338690612441
V33	wild	-283200.7059742	35675	10	283200.7059742	7.93835195442747
V34	wild	-265081.3652053	33334	10	265081.3652053	7.95228191052079
V35	wild	-235342.2774358	29525	10	235342.2774358	7.97094927809653
V36	wild	-287007.6831842	36174	10	287007.6831842	7.93408755416045
V37	wild	-445063.8777953	55795	10	445063.8777953	7.97676992195179
V38	wild	-396426.5204595	49823	10	396426.5204595	7.95669711698413
V39	wild	-370243.6870033	46560	10	370243.6870033	7.95196922257947
V40	wild	-399304.9795466	50216	10	399304.9795466	7.95174803940178
V41	wild	-246888.9622549	31007	10	246888.9622549	7.96236212000194
V42	wild	-311072.5951272	39105	10	311072.5951272	7.9548036089298
V43	wild	-387288.8200438	48696	10	387288.8200438	7.95319574592985
V44	wild	-297321.0518371	37473	10	297321.0518371	7.93427405964561
V45	wild	-411039.0551619	51669	10	411039.0551619	7.95523534734367
V46	wild	-364614.9315959	45857	10	364614.9315959	7.95112919719781
V47	wild	-276338.1452855	34776	10	276338.1452855	7.9462314609357
V48	wild	-387526.4977854	48674	10	387526.4977854	7.96167353793401
V49	wild	-269261.4843357	33915	10	269261.4843357	7.93930368084034
V50	wild	-395784.068078	49745	10	395784.068078	7.95625827878179
V51	wild	-385350.1576092	48388	10	385350.1576092	7.96375460050426
V52	wild	-382721.525849	48078	10	382721.525849	7.9604294240401
V53	wild	-308448.8856262	38839	10	308448.8856262	7.94173087943047
