sample	feature	cutoff	genetic_load	n_del
PI659753_PI659753	downstream_2kb	5%	5666.915710	839.000000
PI152651_PI152651	exon	5%	10800.805030	1523.000000
PI17548_PI17548	exon	5%	12303.156820	1733.000000
PI24969_PI24969	exon	5%	12863.709660	1802.000000
PI276837_PI276837	exon	5%	10571.023390	1491.000000
PI329435_PI329435	exon	5%	9851.379350	1388.000000
PI329440_PI329440	exon	5%	12441.063530	1739.000000
PI34911_PI34911	exon	5%	11402.988140	1605.000000
PI35038_PI35038	exon	5%	12211.313900	1720.000000
PI48770_PI48770	exon	5%	12190.258400	1707.000000
PI533750_PI533750	exon	5%	11097.428380	1563.000000
PI533752_PI533752	exon	5%	10554.123100	1487.000000
PI533754_PI533754	exon	5%	10925.639760	1543.000000
PI533755_PI533755	exon	5%	10891.740470	1525.000000
PI533757_PI533757	exon	5%	10670.068850	1502.000000
PI533758_PI533758	exon	5%	10772.504130	1517.000000
PI533759_PI533759	exon	5%	10990.690040	1543.000000
PI533760_PI533760	exon	5%	10778.664870	1518.000000
PI533761_PI533761	exon	5%	10207.050200	1447.000000
PI533762_PI533762	exon	5%	11384.268500	1607.000000
PI533766_PI533766	exon	5%	11312.598180	1606.000000
PI533769_PI533769	exon	5%	10643.953470	1493.000000
PI533776_PI533776	exon	5%	11940.105640	1689.000000
PI533785_PI533785	exon	5%	12209.038000	1727.000000
PI533788_PI533788	exon	5%	12068.715280	1692.000000
PI533789_PI533789	exon	5%	10730.844000	1502.000000
PI533792_PI533792	exon	5%	12359.016370	1733.000000
PI533794_PI533794	exon	5%	10874.893350	1530.000000
PI533799_PI533799	exon	5%	10534.465550	1483.000000
PI533800_PI533800	exon	5%	11442.183170	1607.000000
PI533807_PI533807	exon	5%	10484.072340	1470.000000
PI533810_PI533810	exon	5%	12756.282850	1787.000000
PI533814_PI533814	exon	5%	13086.545180	1836.000000
PI533821_PI533821	exon	5%	11071.774060	1556.000000
PI533822_PI533822	exon	5%	11232.971960	1581.000000
PI533824_PI533824	exon	5%	10048.237970	1417.000000
PI533830_PI533830	exon	5%	10778.252690	1520.000000
PI533831_PI533831	exon	5%	11490.911960	1609.000000
PI533833_PI533833	exon	5%	10223.794830	1445.000000
PI533838_PI533838	exon	5%	10868.699520	1534.000000
