UID,geno,panicle_num,panicle_weight,panicle_avg,rachis_len,rachis_dia,DaysToBloom,PlantHeight,Treatment_Type,note
40835,PI 656102,3,180.6,60.2,20.26666667,0.752,65,282.4,LN,Tall_Early
40901,PI 533939,3,250.8,83.6,21.96666667,1.132,65.375,224.8333333,LN,Short_Early
40902,PI 534075,2,339.3,169.65,48.1,1.421,62,95,LN,Short_Early
40903,PI 533792,1,101.9,101.9,32.3,1.094,62,64,LN,Short_Early
40904,PI 533766,3,179.5,59.83333333,28.16666667,0.608333333,61.77777778,207.6666667,LN,Short_Early
40905,PI 534117,3,196.7,65.56666667,19.46666667,1.254666667,60.33333333,231.1666667,LN,Short_Early
40906,PI 595702,2,188,94,25.7,0.875666667,63.66666667,215.4,LN,Short_Early
40907,PI 576399,3,206,68.66666667,22.73333333,0.813666667,65.33333333,191.3333333,LN,Short_Early
40908,PI 595718,3,206.2,68.73333333,27.1,1.09,58.55555556,206,LN,Short_Early
40909,PI 656105,2,187.9,93.95,24.45,1.0845,63.44444444,194,LN,Short_Early
40910,PI 656121,2,181.8,90.9,34.9,0.9975,59.33333333,215.3333333,LN,Short_Early
40911,check,3,123.9,41.3,33.76666667,1.125333333,NA,NA,LN,NA
40912,PI 656104,2,135.2,67.6,22.75,0.796,62.2,125.5,LN,Short_Early
40915,PI 533998,3,146.7,48.9,20.76666667,0.818,68.33333333,225.6666667,LN,Short_Late
40916,check,3,428.7,142.9,34.9,1.073,NA,NA,LN,NA
40918,PI 595740,3,364.9,121.6333333,26.9,1.151333333,73.22222222,224.3333333,LN,Short_Late
40919,PI 534135,3,316.9,105.6333333,18.9,1.048333333,80.22222222,162.3333333,LN,Short_Late
40920,PI 548797,3,274.9,91.63333333,28.96666667,1.037,70.77777778,231.1666667,LN,Short_Late
40921,PI 656091,2,179.8,89.9,23.25,1.4215,78.125,182,LN,Short_Late
40922,PI 656026,3,346.3,115.4333333,30.03333333,0.950333333,71.75,200,LN,Short_Late
40923,PI 656113,3,285.6,95.2,12.16666667,1.202,73,95,LN,Short_Late
40924,PI 659694,3,274.6,91.53333333,24.96666667,0.932333333,70,188.1666667,LN,Short_Late
40925,PI 533788,3,124.1,41.36666667,16.16666667,1.029333333,66.5,381.5,LN,Tall_Early
40926,PI 533871,2,314.5,157.25,23.7,0.984,64,296,LN,Tall_Early
40927,check,2,313.1,156.55,33.9,0.911666667,NA,NA,LN,NA
40928,PI 533938,1,27.3,27.3,15.2,1.051,59.44444444,292.3333333,LN,Tall_Early
40928,PI 533938,3,190.8,63.6,15.2,1.051,59.44444444,292.3333333,LN,Tall_Early
40929,PI 597945,2,204.1,102.05,31.6,1.03,65.5,924.25,LN,Tall_Early
40931,PI 542718,3,505,168.3333333,25.63333333,1.550666667,61.88888889,287,LN,Tall_Early
40932,PI 642998,2,206.5,103.25,80.8,1.3865,66.44444444,381.1666667,LN,Tall_Early
40933,PI 656043,3,456.2,152.0666667,30.06666667,1.282666667,67.11111111,303.5,LN,Tall_Early
40934,PI 656114,3,153.3,51.1,26.86666667,1.128,66.625,277.6,LN,Tall_Early
40935,check,3,374.9,124.9666667,35.8,1.078,NA,NA,LN,NA
41001,PI 533987,3,319.6,106.5333333,26.46666667,1.091333333,58.77777778,231.1666667,LN,Short_Early
41002,PI 533940,3,155,51.66666667,29.43333333,0.773333333,64.22222222,186.6666667,LN,Short_Early
41003,PI 533936,3,135.6,45.2,24.8,0.747333333,65.25,227.8,LN,Short_Early
41004,PI 534063,3,193.7,64.56666667,18.83333333,0.953666667,59.2,181.1666667,LN,Short_Early
41005,PI 655998,3,241.3,80.43333333,26.36666667,0.933666667,61.11111111,221,LN,Short_Early
41006,PI 576347,3,162,54,33.1,0.604333333,55.25,190,LN,Short_Early
41007,PI 597972,3,450.3,150.1,32.06666667,1.529333333,62.625,231.1666667,LN,Short_Early
41008,PI 534145,3,179.2,59.73333333,22.5,0.832,57.22222222,181,LN,Short_Early
41009,PI 656020,3,226.6,75.53333333,29.16666667,1.107666667,62.88888889,226.1666667,LN,Short_Early
41010,PI 656087,3,187.5,62.5,33.23333333,1.067333333,59.11111111,220,LN,Short_Early
41011,PI 656101,3,160.3,53.43333333,21.03333333,0.73,57.5,185,LN,Short_Early
41012,PI 656098,3,311.2,103.7333333,31.8,0.837,60.5,215,LN,Short_Early
41013,PI 534021,3,246.6,82.2,30,1.247,80.33333333,214.1666667,LN,Short_Late
41014,PI 534114,3,152.8,50.93333333,24.73333333,0.558033333,69.44444444,211.3333333,LN,Short_Late
41015,PI 533839,3,90.4,30.13333333,29.93333333,0.606333333,67.85714286,193,LN,Short_Late
41017,PI 576381,3,220,73.33333333,28.8,1.388,73.71428571,221.8,LN,Short_Late
41018,PI 576348,2,66.4,33.2,40.2,0.479,67.125,147.8,LN,Short_Late
41019,check,3,499,166.3333333,37.36666667,1.134666667,NA,NA,LN,NA
41022,PI 656064,3,631,210.3333333,39.26666667,1.226,NA,NA,LN,Short_Late
41023,PI 656053,3,234.5,78.16666667,27.06666667,0.913333333,72,209.1666667,LN,Short_Late
41024,PI 656016,3,308.3,102.7666667,28.06666667,1.228666667,68.33333333,228.8333333,LN,Short_Late
41025,PI 533876,3,143.8,47.93333333,27.33333333,0.824333333,64.66666667,352.3333333,LN,Tall_Early
41026,PI 533752,3,437.1,145.7,26.43333333,1.369666667,65.77777778,280.3333333,LN,Tall_Early
41027,PI 533937,2,112.9,56.45,28.85,1.019,62.55555556,274,LN,Tall_Early
41028,PI 534079,2,141.7,70.85,21.6,1.0865,64.5,276.5,LN,Tall_Early
41030,PI 597946,1,83.8,83.8,36.2,0.968,61,356.75,LN,Tall_Early
41031,PI 655977,3,328.4,109.4666667,22.96666667,1.248333333,65.88888889,290.8333333,LN,Tall_Early
41032,PI 655974,3,275.9,91.96666667,28.13333333,0.952333333,67.66666667,288.3333333,LN,Tall_Early
41033,PI 655992,3,230.2,76.73333333,25.86666667,0.962,64.85714286,279,LN,Tall_Early
41034,PI 566819,3,175.1,58.36666667,29.13333333,0.758666667,NA,NA,LN,Tall_Early
41035,PI 655994,3,451.1,150.3666667,37.23333333,1.201,63.875,292.4,LN,Tall_Early
