id	Dry
PI656046	0.754660870332323
PI656047	0.682454394580731
PI656049	0.792393702700737
PI656051	0.656295615985362
PI656052	0.860019315652796
PI656053	0.869690110492013
PI656055	0.886528533170302
PI656056	0.800637387061779
PI656057	0.882143977399538
PI656058	0.93643879324149
PI656059	0.773871411304909
PI656060	0.659351857266311
PI656061	0.897568117581607
PI656062	0.822765700009635
PI656068	0.797499683422815
PI656069	0.660326947017274
PI656070	0.713408960262517
PI656071	0.883601187251024
PI656072	0.730425741257344
PI656073	0.84835813525307
PI656075	0.855979856260179
PI656076	0.710855346828621
PI656077	0.713133488605644
PI656078	0.675944751503319
PI656079	0.643966502893479
PI656080	0.602027323778358
PI656081	0.71391653566841
PI656082	0.669475837410985
PI656083	0.810571048546151
PI656084	0.777054155688281
PI656085	0.868709828367639
PI656086	0.702584386135614
PI656087	0.760884811151372
PI656088	0.828178777447728
PI656089	0.85921655982087
PI656091	0.797602616984621
PI656092	0.806234116265309
PI656094	0.699974811230618
PI656095	0.891234127770443
PI656096	0.79280756075831
PI656097	0.730834968816273
PI656098	0.720710045316137
PI656099	0.657175578421586
PI656101	0.757508552974437
PI656102	0.723923454943311
PI656103	0.680810817912154
PI656104	0.575860612556302
PI656105	0.772882369409119
PI656106	0.749790756052068
PI656107	0.808925659344166
PI656108	0.653264001273476
PI656109	0.730497149019787
PI656110	0.800507496672391
PI656111	0.744071495233943
PI656112	0.836348984889633
PI656113	0.625916260784955
PI656117	0.829779399072358
PI656118	0.869342807358215
PI656119	0.693244360918398
PI656120	0.644987400004818
PI656121	0.72033987267954
PI659691	0.749790756052068
PI659693	0.711524181359293
PI659694	0.69752068652701
PI659695	0.8127015200305
PI659696	0.622136892616989
PI659753	0.928557663225771
