id	Fresh
PI655986	0.935999965826431
PI655987	0.916882700327611
PI655988	0.91080094394035
PI655989	0.899680020131283
PI655990	0.909256836794145
PI655991	0.910390315237251
PI655992	0.892965093137357
PI655993	0.909408407046818
PI655994	0.917278959892106
PI655995	0.948888959996638
PI655997	0.922414168332413
PI655998	0.913767628446733
PI655999	0.899542147625917
PI656001	0.888034888295095
PI656002	0.913104297435831
PI656004	1.0071935537428
PI656006	0.903412367870285
PI656007	0.870684451603259
PI656008	0.924109069814874
PI656010	0.872728213460978
PI656015	0.929461142957241
PI656018	0.875523140677022
PI656019	0.927160277029129
PI656020	0.900608423471793
PI656022	0.934785523252287
PI656023	0.940090552717012
PI656024	0.904002163486181
PI656025	0.922388614880643
PI656026	0.900765697601916
PI656028	0.905200143921427
PI656029	0.907550813379268
PI656031	0.893738549043679
PI656033	0.90249559280398
PI656034	0.921352336460838
PI656036	0.900178773071586
PI656037	0.909134150972189
PI656038	0.9034566033533
PI656039	0.924347665232394
PI656041	0.912659097447938
PI656043	0.933195123995896
PI656044	0.921522304295909
PI656046	0.923543099847998
PI656047	0.88367652784545
PI656049	0.90425229082199
PI656051	0.912938944430453
PI656052	0.898210444516634
PI656053	0.909209318339244
PI656055	0.918414736777735
PI656056	0.910305272030402
PI656057	0.905625288010531
PI656058	0.908453384965775
PI656059	0.899419685815513
PI656060	0.897418834541298
PI656061	0.919666968820183
PI656062	0.900733576189791
PI656068	0.91430552663356
PI656069	0.904555187641368
PI656070	0.921261722682789
PI656071	0.895718953896135
PI656072	0.904633341978456
PI656073	0.912600587291132
PI656075	0.918104908670766
PI656076	0.927384480408641
PI656077	0.919127604846962
PI656078	0.950858959142332
PI656079	0.923718328300693
PI656080	0.879346119886312
PI656081	0.897244843346929
PI656082	0.897358227636365
PI656083	0.917073291717013
PI656084	0.884990606977217
PI656085	0.909725053508089
PI656086	0.964993929328284
PI656087	0.938911583410738
PI656088	0.897614450137897
PI656089	0.891851054706825
PI656090	0.897050038972271
PI656091	0.900465821914008
PI656092	0.9170759224873
PI656093	0.913284492832715
PI656094	0.899814394327394
PI656095	0.920379477666138
PI656096	0.909401035294057
PI656097	0.928227260464483
PI656098	0.919959053142374
PI656099	0.914084387130157
PI656101	0.91134207436779
PI656102	0.911223542180379
PI656103	0.921010748582929
PI656104	0.906875989110879
PI656105	0.933766636381736
PI656106	0.910940712129272
PI656107	0.91954771701448
PI656108	0.948884608553266
PI656109	0.903813869670886
PI656110	0.905400165742732
PI656111	0.923409039173458
PI656112	0.916988369247029
PI656113	0.90170213208011
PI656117	0.918397144793411
PI656118	0.922424732551159
PI656119	0.896463389423245
PI656120	0.948988939578661
PI656121	0.906188081279227
PI659691	0.886049909914922
PI659693	0.922971478220792
PI659694	0.915658968106343
PI659695	0.925465995539596
PI659696	0.910260133087553
PI659753	0.896637186447493
