id	leaf
PI656038	5.57607375444526
PI656039	5.30740324684119
PI656041	5.60968297159852
PI656043	4.74988586768597
PI656044	5.21351777068666
PI656046	5.18748152019112
PI656047	4.61475094151388
PI656049	5.56124169793717
PI656051	4.36669664922748
PI656052	5.48652866762937
PI656053	5.33341985828809
PI656055	5.51745350765669
PI656056	5.18937442293081
PI656057	5.40951483325866
PI656058	5.70966293738813
PI656059	5.13854176938752
PI656060	5.44231800932287
PI656061	5.74468927849619
PI656062	4.634990713483
PI656068	5.00907941963871
PI656069	5.70966293738813
PI656070	5.40396455284917
PI656071	5.52947235508234
PI656072	5.68878904753589
PI656073	5.74457115600516
PI656075	5.561812737754
PI656076	4.95780127610551
PI656077	5.54201474751526
PI656078	5.37062069187919
PI656079	5.40986843097903
PI656080	5.11244185144457
PI656081	5.29807962936974
PI656082	5.16972958040618
PI656083	5.71811040349769
PI656084	5.56124169793717
PI656085	5.64809658288252
PI656086	5.67772071350417
PI656087	5.18174842783183
PI656088	5.35680334688923
PI656089	5.77135524983394
PI656090	5.70615299845687
PI656091	5.40525402017001
PI656092	5.25974821015016
PI656093	5.35842907120635
PI656094	5.30037265563201
PI656095	5.30552520335602
PI656096	5.49278892584884
PI656097	5.2064141867507
PI656098	5.44231800932287
PI656099	4.55903064599597
PI656101	5.18341074039662
PI656102	5.56982889900579
PI656103	5.41522669189696
PI656104	5.41398760511991
PI656105	5.26810334572042
PI656106	5.61905530221337
PI656107	5.71008402302121
PI656108	5.07762464680319
PI656109	5.6452784354535
PI656110	5.75280828431106
PI656111	4.99454695756515
PI656112	5.21999350367758
PI656113	5.26463909926706
PI656117	5.6020572986346
PI656118	5.17551303010835
PI656119	5.56982889900579
PI656120	5.13012305863727
PI656121	5.29674271054342
PI659691	5.5031473264632
PI659693	5.26810334572042
PI659694	5.25974821015016
PI659695	5.75759235822955
PI659696	5.21063816754259
PI659753	5.47433704695652
