sample	PI	Race	cutoff	miss	Genetic_load_sum	N_del_sum	n_chr_rows	Abs_genetic_load	Abs_per_Ndel
PI656020_PI656020	PI656020	Durra	25%	miss50	-1403143.2715153	142467	10	1403143.2715153	9.84890024718214
PI656022_PI656022	PI656022	Durra	25%	miss50	-1295878.2317148	136590	10	1295878.2317148	9.48735801826489
PI656023_PI656023	PI656023	Durra	25%	miss50	-1292100.8425601	127606	10	1292100.8425601	10.1257060213477
PI656028_PI656028	PI656028	Durra	25%	miss50	-1259496.2621251	131358	10	1259496.2621251	9.58827221886068
PI656038_PI656038	PI656038	Durra	25%	miss50	-1288463.6981423	144875	10	1288463.6981423	8.89362345568456
PI656042_PI656042	PI656042	Durra	25%	miss50	-1656158.8833564	171817	10	1656158.8833564	9.63908625663583
PI656049_PI656049	PI656049	Durra	25%	miss50	-1247050.9621313	176888	10	1247050.9621313	7.04994664494651
PI656052_PI656052	PI656052	Durra	25%	miss50	-1590708.4356263	171446	10	1590708.4356263	9.27818925857881
PI656058_PI656058	PI656058	Durra	25%	miss50	-1321692.7247589	141518	10	1321692.7247589	9.33939657682345
PI656060_PI656060	PI656060	Durra	25%	miss50	-1288747.4122658	137751	10	1288747.4122658	9.35563017521325
PI656061_PI656061	PI656061	Durra	25%	miss50	-1168210.8731912	121219	10	1168210.8731912	9.63719279313639
PI656063_PI656063	PI656063	Durra	25%	miss50	-1164600.6597435	162124	10	1164600.6597435	7.18339456060484
PI656080_PI656080	PI656080	Durra	25%	miss50	-1154147.9486931	126118	10	1154147.9486931	9.15133405773244
PI656112_PI656112	PI656112	Durra	25%	miss50	-1249631.9759873	131767	10	1249631.9759873	9.48364898637216
PI34911_PI34911	PI34911	Guinea	25%	miss50	-1469361.2897993	146427	10	1469361.2897993	10.0347701571384
PI533752_PI533752	PI533752	Guinea	25%	miss50	-1368468.7187051	136049	10	1368468.7187051	10.0586459195224
PI533757_PI533757	PI533757	Guinea	25%	miss50	-1143641.5336961	114562	10	1143641.5336961	9.98273016965572
PI533758_PI533758	PI533758	Guinea	25%	miss50	-1100516.9669664	109964	10	1100516.9669664	10.0079750369794
PI533759_PI533759	PI533759	Guinea	25%	miss50	-1199193.3071564	118749	10	1199193.3071564	10.0985549954644
PI533760_PI533760	PI533760	Guinea	25%	miss50	-1292148.3384286	129033	10	1292148.3384286	10.0140920417924
PI533761_PI533761	PI533761	Guinea	25%	miss50	-1137901.7887232	113294	10	1137901.7887232	10.0437956884142
PI533762_PI533762	PI533762	Guinea	25%	miss50	-1283968.9871735	176614	10	1283968.9871735	7.26991624205046
PI533769_PI533769	PI533769	Guinea	25%	miss50	-1005648.5374642	102024	10	1005648.5374642	9.85698009746923
PI533789_PI533789	PI533789	Guinea	25%	miss50	-1199471.3327828	120713	10	1199471.3327828	9.9365547437542
PI533807_PI533807	PI533807	Guinea	25%	miss50	-1117113.3146523	113457	10	1117113.3146523	9.84613831365451
PI533821_PI533821	PI533821	Guinea	25%	miss50	-1039981.6919639	103841	10	1039981.6919639	10.0151355626766
PI533822_PI533822	PI533822	Guinea	25%	miss50	-1281780.9399423	129080	10	1281780.9399423	9.93012813714209
PI533831_PI533831	PI533831	Guinea	25%	miss50	-1243054.4027657	126180	10	1243054.4027657	9.85143765070297
PI533833_PI533833	PI533833	Guinea	25%	miss50	-979840.647287399	98451	10	979840.647287399	9.95257181021421
PI533838_PI533838	PI533838	Guinea	25%	miss50	-1190139.9242361	121934	10	1190139.9242361	9.76052556494579
PI533863_PI533863	PI533863	Guinea	25%	miss50	-1237278.8374411	134872	10	1237278.8374411	9.17372647726066
PI533876_PI533876	PI533876	Guinea	25%	miss50	-1206620.6881488	192867	10	1206620.6881488	6.25623195336061
PI533901_PI533901	PI533901	Guinea	25%	miss50	-1307570.0609676	131188	10	1307570.0609676	9.96714685007471
PI533910_PI533910	PI533910	Guinea	25%	miss50	-1156235.5122408	117914	10	1156235.5122408	9.80575260139423
PI533911_PI533911	PI533911	Guinea	25%	miss50	-1535280.3581123	158137	10	1535280.3581123	9.70854612211121
PI533912_PI533912	PI533912	Guinea	25%	miss50	-1061155.6827496	107842	10	1061155.6827496	9.83991100637599
PI533913_PI533913	PI533913	Guinea	25%	miss50	-1159409.200897	117657	10	1159409.200897	9.85414553232702
PI533939_PI533939	PI533939	Guinea	25%	miss50	-1314789.3175491	149931	10	1314789.3175491	8.76929599315085
PI533949_PI533949	PI533949	Guinea	25%	miss50	-1152150.860255	114826	10	1152150.860255	10.0338848366659
PI533961_PI533961	PI533961	Guinea	25%	miss50	-1351283.8922197	134811	10	1351283.8922197	10.0235432733211
PI533962_PI533962	PI533962	Guinea	25%	miss50	-1117563.2937454	112778	10	1117563.2937454	9.90940869447409
PI533964_PI533964	PI533964	Guinea	25%	miss50	-1295460.4710041	128637	10	1295460.4710041	10.0706676228776
PI533965_PI533965	PI533965	Guinea	25%	miss50	-1447289.814377	145010	10	1447289.814377	9.98062074599683
PI533967_PI533967	PI533967	Guinea	25%	miss50	-1375197.8725306	138528	10	1375197.8725306	9.92721956954982
PI533970_PI533970	PI533970	Guinea	25%	miss50	-1365267.8391638	137547	10	1365267.8391638	9.92582782004552
PI533972_PI533972	PI533972	Guinea	25%	miss50	-1067948.2697381	106965	10	1067948.2697381	9.98409077490862
PI533976_PI533976	PI533976	Guinea	25%	miss50	-1252191.4124698	126847	10	1252191.4124698	9.87166754018464
PI533980_PI533980	PI533980	Guinea	25%	miss50	-1256785.5906844	125480	10	1256785.5906844	10.0158239614632
PI533985_PI533985	PI533985	Guinea	25%	miss50	-1118791.9280391	112428	10	1118791.9280391	9.95118589709948
PI533986_PI533986	PI533986	Guinea	25%	miss50	-1167933.763187	116414	10	1167933.763187	10.0325885476575
