"genotype"	"LN:daysToFlower"	"LN:plantHeight"	"LN:tillersPerPlant"	"LN:stemDiameterUpper"	"LN:stemDiameterLower"	"HN:daysToFlower"	"HN:extantLeafNumber"	"HN:plantHeight"	"HN:thirdLeafLength"	"HN:thirdLeafWidth"	"HN:tillersPerPlant"	"HN:stemDiameterLower"	"HN:stemDiameterUpper"	"HN:percentMoisture"	"HN:percentProtein"	"HN:percentOil"	"HN:percentAsh"	"HN:percentStarch"	"daysToFlower:NR"	"plantHeight:NR"	"tillersPerPlant:NR"	"stemDiameterUpper:NR"	"stemDiameterLower:NR"	"daysToFlower"	"plantHeight"	"tillersPerPlant"	"stemDiameterUpper"	"stemDiameterLower"
"11"	"PI 533757"	12.418744004608	-54.8043678963756	-1.37536017987259	1.8703765354992	7.07147218487747	13.025970964462	0.807991572241404	-55.9648976356416	13.1864109924976	3.44477842338713	-2.27420075960796	6.48138227293106	3.40214764091444	0.0996106553177941	-2.83467076587025	2.39524939329257	-0.172351104912968	0.911862525287732	-0.134700816895313	-0.22389481881421	0.512497710066936	0.0792040927841002	0.0252167400480839	12.6448364465217	-52.9544255555063	-1.81151213763812	2.41909946024048	6.83535231206764
"12"	"PI 533758"	9.13525780116591	-35.2807969083101	-0.829805412981194	2.50390801679029	6.70403789447483	12.1097713857979	-0.857137027596844	-38.4708420046362	19.5846168705932	2.63303265145291	-1.4754925719746	6.04360426629158	4.3994658777493	0.641115381475403	-0.758103149243032	1.42990814963315	0.135001349242735	-0.910823049443919	-0.110296678799805	-0.203790649260735	0.497884685390262	0.107181359552382	0.023251221703292	10.4958277369469	-35.0768987865141	-1.16395570776071	3.238750109411	6.31191899005198
"13"	"PI 533759"	7.91244811861875	-71.4890612677609	-1.06694634813485	1.88444590308837	6.77728342599413	7.46296647753053	-0.883448758896567	-69.0868945649516	8.34640515067249	2.48083098228608	-1.74529953925429	7.35513540139294	3.64559763928291	0.71350177772147	-1.17865561061205	2.03439539319216	-0.0471389443965313	-1.45680690169984	-0.156124594727605	-0.226049031397073	0.552200049005111	0.100759101735365	0.0629513015141648	7.7641741627904	-69.0510573323387	-1.43226689897369	2.51113400064078	7.06315318733073
"14"	"PI 533760"	9.18854214469419	-58.9262791574618	-1.18631190590976	3.6803384532062	6.02721462399872	10.7037479306473	1.51777181489115	-71.344970686789	3.94564241133021	1.74137523957311	-2.20437307622679	6.8807866904914	4.29876039584599	1.31417034365104	3.07731834367746	1.8655348949013	NA	-4.04471250934499	-0.128710086672946	-0.355108772519221	0.363764340031111	-0.00611156445342217	0.0735749423225907	9.85585369793285	-61.9995289426816	-1.67063789716158	3.78360392407499	6.27497197759147
"15"	"PI 533761"	16.5392112786319	-30.8030350838791	-0.998729664520313	2.35150164343983	8.23359467488949	20.7759075035304	1.43014937854804	-20.3132942444238	21.2674081445306	2.86770857340932	-2.38427542912875	9.00017841499363	3.38790476261278	1.03102053788062	-1.5030094722961	2.08058374567673	-0.0558377769309135	-3.20982855218863	-0.0862039698277487	-0.0831497945609935	0.0981731238994709	0.0309563576618305	0.0659280471447286	18.4426753161305	-23.1732368126751	-1.6664921463534	2.65309366312645	8.48546034896579
"16"	"PI 533766"	5.43662774341001	-53.2239475087229	-0.225330880728674	-0.54063125324988	3.68882457140077	7.20330544829133	0.990936136035171	-50.19576528429	6.39873436431495	0.788854906404964	-1.23638315562196	2.85632502828174	0.355872224699304	-0.251981900343508	-1.04555945451652	0.884799388698419	0.182455914380988	2.12915798985377	-0.131788473204838	-0.177794178922621	0.221856090727449	0.0247872726595219	0.0196175873588932	6.23058556030282	-50.451166179198	-0.724733320128434	-0.279044199568497	3.34975043089409
"17"	"PI 533769"	2.1162046205436	-78.3478788505903	0.0354205222639058	3.63279477564633	5.27664361110887	5.93764762988833	-0.80626662571114	-78.1936908707906	12.1735685869031	0.977396533669689	-0.327734840845785	4.59598593932135	3.84560894653477	0.277135774553756	-2.00913097284061	2.17849309790926	0.0459899612318986	0.989152140021799	-0.109284290620055	-0.277790143943608	0.442457921684981	-0.0390090188557519	0.0236885141982653	4.26857400939318	-76.184124580461	-0.161370413607433	3.56933158006321	4.93937197345445
"18"	"PI 533776"	11.0018904560545	-14.7789546251508	-0.453762011843322	5.09458261611544	8.26913583078523	9.07638704168419	-1.61351060505195	-1.18106459355633	13.925860170828	0.377590712506584	-1.15287904045339	5.55021781382212	6.20656195253298	0.358822654374346	-2.27798817344749	2.17840696143008	0.140671864131389	0.612959853990243	-0.16843079052848	-0.0507324710763069	0.387771555037241	0.030279580440762	-0.0409300612328063	10.0385339502704	-6.0200335010471	-0.814516110242475	5.4733900436953	6.94995576642914
"19"	"PI 533785"	7.12215938396936	-51.4787733030294	-0.53854532991124	2.00116347731002	6.29677188864699	11.0732958094044	-2.3224876793002	-47.991156025183	15.6708693289386	1.1315070386052	-2.06713644251848	6.58317332564669	2.61216093472212	0.419541620341653	-0.206685937692249	2.11372707083019	0.124066964077698	-1.01730024278995	-0.100479907462378	-0.170118570836577	0.00857516367682799	-0.0077635150336142	0.0544341139015916	8.74504326637703	-48.485563948775	-1.29551868718955	2.15014527743637	6.25915892285072
"20"	"PI 533789"	16.9517271853798	-58.1657501875463	-1.0354941272502	0.0175211544271956	10.6477196203452	14.5879898975694	0.419960721967273	-53.0730199936576	12.8017363790886	1.66431354582585	-1.65730116392381	9.83771794843456	1.27096504552422	0.615548245866971	-2.4557911800247	2.27769956800764	0.0263539000876914	0.637532961919312	-0.161926467446555	-0.165123225394014	0.576628382766871	0.0641206082821611	0.0163616311780224	15.6405958374522	-53.9174460098794	-1.3280811835654	0.439920183118549	10.086883773379
