sample	PI	Race	cutoff	miss	Genetic_load	N_del	Abs_genetic_load
PI597945_PI597945	PI597945	Bicolor	1%	miss50	-88242.1509454	5868	88242.1509454
PI597946_PI597946	PI597946	Guinea	1%	miss50	-80532.0532184	5350	80532.0532184
PI597949_PI597949	PI597949	Durra	1%	miss50	-76664.3812138	5016	76664.3812138
PI597950_PI597950	PI597950	Guinea	1%	miss50	-59012.9099281	3934	59012.9099281
PI597951_PI597951	PI597951	Caudatum	1%	miss50	-90447.6975957	5930	90447.6975957
PI597952_PI597952	PI597952	Bicolor	1%	miss50	-87773.6132535	10104	87773.6132535
PI597957_PI597957	PI597957	Bicolor	1%	miss50	-78281.0319421	7262	78281.0319421
PI597958_PI597958	PI597958	Durra	1%	miss50	-82888.8977002	5402	82888.8977002
PI597960_PI597960	PI597960	Caudatum	1%	miss50	-56046.238763	3672	56046.238763
PI597961_PI597961	PI597961	Guinea	1%	miss50	-66261.2097179	4325	66261.2097179
PI597964_PI597964	PI597964	Milo/Durra-Bicolor	1%	miss50	-72637.6606314	4751	72637.6606314
PI597965_PI597965	PI597965	Guinea	1%	miss50	-72544.7857438	4737	72544.7857438
PI597966_PI597966	PI597966	Guinea	1%	miss50	-79827.1971033	5174	79827.1971033
PI597967_PI597967	PI597967	Milo/Durra-Bicolor	1%	miss50	-72377.4564132	4712	72377.4564132
PI597968_PI597968	PI597968	Guinea	1%	miss50	-82034.6070394	5410	82034.6070394
PI597971_PI597971	PI597971	Guinea	1%	miss50	-66160.4373655	4320	66160.4373655
PI597972_PI597972	PI597972	Bicolor	1%	miss50	-66951.188443	4467	66951.188443
PI597973_PI597973	PI597973	Bicolor	1%	miss50	-65227.7785168	4292	65227.7785168
PI597976_PI597976	PI597976	Caudatum	1%	miss50	-67392.0683203	4407	67392.0683203
PI597980_PI597980	PI597980	Guinea	1%	miss50	-63964.2667126	4149	63964.2667126
PI597982_PI597982	PI597982	Guinea	1%	miss50	-63758.203494	4267	63758.203494
PI598069_PI598069	PI598069	Bicolor	1%	miss50	-85979.0016724	5679	85979.0016724
PI598070_PI598070	PI598070	Bicolor	1%	miss50	-84014.2545978	5843	84014.2545978
PI601816_PI601816	PI601816	Milo/Durra-Bicolor	1%	miss50	-69968.9787485	4493	69968.9787485
PI607931_PI607931	PI607931	Guinea	1%	miss50	-66705.9881261	4330	66705.9881261
PI609456_PI609456	PI609456	Caudatum	1%	miss50	-22971.2043455	1571	22971.2043455
PI613536_PI613536	PI613536	Bicolor	1%	miss50	-68522.0559682	4482	68522.0559682
PI629034_PI629034	PI629034	Guinea	1%	miss50	-70585.1951751	4602	70585.1951751
PI629040_PI629040	PI629040	Bicolor	1%	miss50	-111540.7802647	7388	111540.7802647
PI629059_PI629059	PI629059	Durra	1%	miss50	-68237.349352	4398	68237.349352
PI641824_PI641824	PI641824	Durra	1%	miss50	-88951.2287662	6745	88951.2287662
PI641836_PI641836	PI641836	Durra	1%	miss50	-75005.4694576	4838	75005.4694576
PI641849_PI641849	PI641849	Durra	1%	miss50	-101381.7106701	6710	101381.7106701
PI641874_PI641874	PI641874	Bicolor	1%	miss50	-125222.5401183	8252	125222.5401183
PI642791_PI642791	PI642791	Milo/Durra-Bicolor	1%	miss50	-85308.6936088	5541	85308.6936088
PI642793_PI642793	PI642793	Durra	1%	miss50	-78571.0616512	5086	78571.0616512
PI642992_PI642992	PI642992	Guinea	1%	miss50	-87267.311369	5731	87267.311369
PI642998_PI642998	PI642998	Bicolor	1%	miss50	-70133.480268	4666	70133.480268
PI651492_PI651492	PI651492	Milo/Durra-Bicolor	1%	miss50	-89189.419541	5840	89189.419541
PI651496_PI651496	PI651496	Guinea	1%	miss50	-68686.165581	4468	68686.165581
PI653616_PI653616	PI653616	Guinea	1%	miss50	-76193.414063	5159	76193.414063
PI653617_PI653617	PI653617	Guinea	1%	miss50	-68354.8323928	4460	68354.8323928
PI655970_PI655970	PI655970	Durra	1%	miss50	-77700.8078454	4979	77700.8078454
PI655971_PI655971	PI655971	Bicolor	1%	miss50	-114585.5023413	7566	114585.5023413
PI655972_PI655972	PI655972	Durra	1%	miss50	-76889.0986144	4967	76889.0986144
PI655973_PI655973	PI655973	Kafir	1%	miss50	-85391.0740526	5600	85391.0740526
PI655974_PI655974	PI655974	Durra	1%	miss50	-76140.055401	5083	76140.055401
PI655975_PI655975	PI655975	Durra	1%	miss50	-90259.0933668	5837	90259.0933668
PI655976_PI655976	PI655976	Durra	1%	miss50	-76646.4252797	4964	76646.4252797
PI655977_PI655977	PI655977	Milo/Durra-Bicolor	1%	miss50	-80789.0554107	5242	80789.0554107
PI655978_PI655978	PI655978	Caudatum	1%	miss50	-103694.5242919	6793	103694.5242919
PI655979_PI655979	PI655979	Caudatum	1%	miss50	-87659.4811902	5744	87659.4811902
PI655980_PI655980	PI655980	Bicolor	1%	miss50	-69758.2702901	4591	69758.2702901
PI655981_PI655981	PI655981	Caudatum	1%	miss50	-84614.3307818	5503	84614.3307818
PI655982_PI655982	PI655982	Durra	1%	miss50	-66858.8051802	4293	66858.8051802
PI655983_PI655983	PI655983	Durra	1%	miss50	-75229.6120323	4842	75229.6120323
PI655984_PI655984	PI655984	Kafir	1%	miss50	-105120.0520932	6989	105120.0520932
PI655985_PI655985	PI655985	Durra	1%	miss50	-89980.5992175	5826	89980.5992175
PI655986_PI655986	PI655986	Bicolor	1%	miss50	-89754.0457544	5769	89754.0457544
PI655987_PI655987	PI655987	Durra	1%	miss50	-75467.34445	4845	75467.34445
PI655988_PI655988	PI655988	Durra	1%	miss50	-78442.3273778	5125	78442.3273778
PI655989_PI655989	PI655989	Durra	1%	miss50	-74145.1037245	4883	74145.1037245
PI655990_PI655990	PI655990	Bicolor	1%	miss50	-114784.9656295	7521	114784.9656295
PI655991_PI655991	PI655991	Durra	1%	miss50	-84609.1298122	7460	84609.1298122
PI655992_PI655992	PI655992	Durra	1%	miss50	-75661.1255387	6410	75661.1255387
PI655993_PI655993	PI655993	Durra	1%	miss50	-87958.4310042	5929	87958.4310042
PI655994_PI655994	PI655994	Durra	1%	miss50	-83647.4235734	5905	83647.4235734
PI655995_PI655995	PI655995	Bicolor	1%	miss50	-74687.3149763	4943	74687.3149763
PI655996_PI655996	PI655996	Caudatum	1%	miss50	-101464.3439106	6751	101464.3439106
PI655997_PI655997	PI655997	Bicolor	1%	miss50	-109873.5548082	7195	109873.5548082
PI655998_PI655998	PI655998	Caudatum	1%	miss50	-80124.8013227	5244	80124.8013227
PI655999_PI655999	PI655999	Bicolor	1%	miss50	-63866.4092524	4375	63866.4092524
PI656000_PI656000	PI656000	Milo/Durra-Bicolor	1%	miss50	-64388.1530101	4108	64388.1530101
PI656001_PI656001	PI656001	Milo/Durra-Bicolor	1%	miss50	-66207.3031792	4268	66207.3031792
PI656002_PI656002	PI656002	Durra	1%	miss50	-74872.7800015	4834	74872.7800015
PI656003_PI656003	PI656003	Durra	1%	miss50	-88029.2031046	5725	88029.2031046
PI656004_PI656004	PI656004	Caudatum	1%	miss50	-106928.8665747	7066	106928.8665747
PI656005_PI656005	PI656005	Durra	1%	miss50	-80936.5102396	5253	80936.5102396
PI656006_PI656006	PI656006	Durra	1%	miss50	-85590.8348524	5614	85590.8348524
PI656007_PI656007	PI656007	Durra	1%	miss50	-65091.4171369	4436	65091.4171369
PI656008_PI656008	PI656008	Milo/Durra-Bicolor	1%	miss50	-84703.1507547	5547	84703.1507547
PI656009_PI656009	PI656009	Guinea	1%	miss50	-67738.0118241	4508	67738.0118241
PI656010_PI656010	PI656010	Caudatum	1%	miss50	-95788.7739858	7060	95788.7739858
PI656011_PI656011	PI656011	Milo/Durra-Bicolor	1%	miss50	-91251.1604776	6543	91251.1604776
PI656012_PI656012	PI656012	Bicolor	1%	miss50	-108448.2911401	7246	108448.2911401
PI656013_PI656013	PI656013	Bicolor	1%	miss50	-90820.5026511	8257	90820.5026511
PI656014_PI656014	PI656014	Caudatum	1%	miss50	-77866.9237118	7834	77866.9237118
PI656015_PI656015	PI656015	Kafir	1%	miss50	-86336.912426	5608	86336.912426
PI656016_PI656016	PI656016	Milo/Durra-Bicolor	1%	miss50	-85201.6292487	5535	85201.6292487
PI656017_PI656017	PI656017	Bicolor	1%	miss50	-113781.1413154	7507	113781.1413154
PI656018_PI656018	PI656018	Durra	1%	miss50	-100811.620233	6552	100811.620233
