sample	sub	Genetic_load_sum	N_del_sum	n_chr_rows	group	Abs_genetic_load
V29	wild	-330850.3406586	41549	10	wild	330850.3406586
V30	wild	-414688.5487517	52141	10	wild	414688.5487517
V31	wild	-411209.7826276	51713	10	wild	411209.7826276
V32	wild	-257516.4769071	32297	10	wild	257516.4769071
V33	wild	-283200.7059742	35675	10	wild	283200.7059742
V34	wild	-265081.3652053	33334	10	wild	265081.3652053
V35	wild	-235342.2774358	29525	10	wild	235342.2774358
V36	wild	-287007.6831842	36174	10	wild	287007.6831842
V37	wild	-445063.8777953	55795	10	wild	445063.8777953
V38	wild	-396426.5204595	49823	10	wild	396426.5204595
V39	wild	-370243.6870033	46560	10	wild	370243.6870033
V40	wild	-399304.9795466	50216	10	wild	399304.9795466
V41	wild	-246888.9622549	31007	10	wild	246888.9622549
V42	wild	-311072.5951272	39105	10	wild	311072.5951272
V43	wild	-387288.8200438	48696	10	wild	387288.8200438
V44	wild	-297321.0518371	37473	10	wild	297321.0518371
V45	wild	-411039.0551619	51669	10	wild	411039.0551619
V46	wild	-364614.9315959	45857	10	wild	364614.9315959
V47	wild	-276338.1452855	34776	10	wild	276338.1452855
V48	wild	-387526.4977854	48674	10	wild	387526.4977854
V49	wild	-269261.4843357	33915	10	wild	269261.4843357
V50	wild	-395784.068078	49745	10	wild	395784.068078
V51	wild	-385350.1576092	48388	10	wild	385350.1576092
V52	wild	-382721.525849	48078	10	wild	382721.525849
V53	wild	-308448.8856262	38839	10	wild	308448.8856262
