sample	sub	Genetic_load_sum	N_del_sum	n_chr_rows	group	Abs_genetic_load
V212	improved	-80584.8279605	16429	17	improved	80584.8279605
V213	improved	-95186.3086782	19495	17	improved	95186.3086782
V214	improved	-88867.1308822	18194	17	improved	88867.1308822
V215	improved	-75776.7731141	15517	17	improved	75776.7731141
V216	improved	-74611.1416595	15292	17	improved	74611.1416595
V217	improved	-87519.6998831	17932	17	improved	87519.6998831
V218	improved	-119889.6133798	24546	17	improved	119889.6133798
V219	improved	-112941.3895042	23096	17	improved	112941.3895042
V220	improved	-102733.2542215	21015	17	improved	102733.2542215
V221	improved	-122756.6642075	25160	17	improved	122756.6642075
V222	improved	-155516.4209477	31813	17	improved	155516.4209477
V223	improved	-155045.7963825	31770	17	improved	155045.7963825
V224	improved	-86509.9346186	17694	17	improved	86509.9346186
V225	improved	-99778.1116116	20423	17	improved	99778.1116116
V226	improved	-103535.5174772	21207	17	improved	103535.5174772
V227	improved	-100464.0707876	20557	17	improved	100464.0707876
V228	improved	-54715.2958693	11189	17	improved	54715.2958693
V229	improved	-115013.1606003	23550	17	improved	115013.1606003
V230	improved	-137758.3187234	28197	17	improved	137758.3187234
V231	improved	-148555.7789624	30444	17	improved	148555.7789624
V232	improved	-85372.8256292	17471	17	improved	85372.8256292
V233	improved	-102852.3170127	21040	17	improved	102852.3170127
V234	improved	-113743.9430343	23262	17	improved	113743.9430343
V235	improved	-68074.9127269	13925	17	improved	68074.9127269
V236	improved	-118736.2405649	24317	17	improved	118736.2405649
V237	improved	-111140.5194289	22664	17	improved	111140.5194289
V238	improved	-105440.9961266	21571	17	improved	105440.9961266
V239	improved	-146056.5495056	29938	17	improved	146056.5495056
V240	improved	-113566.9811386	23297	17	improved	113566.9811386
V241	improved	-172388.4366434	35271	17	improved	172388.4366434
V242	improved	-113853.1438791	23302	17	improved	113853.1438791
V243	improved	-62958.1154857	12913	17	improved	62958.1154857
V244	improved	-151942.8033646	31046	17	improved	151942.8033646
V245	improved	-49207.3839373	10062	17	improved	49207.3839373
V246	improved	-145165.3701574	29757	17	improved	145165.3701574
V247	improved	-72258.625349	14753	17	improved	72258.625349
V248	improved	-73853.2648795	15152	17	improved	73853.2648795
V249	improved	-86599.972348	17719	17	improved	86599.972348
V250	improved	-98079.767151	20053	17	improved	98079.767151
V251	improved	-83595.2351962	17061	17	improved	83595.2351962
V252	improved	-89213.3307451	18252	17	improved	89213.3307451
V253	improved	-84765.1234945	17327	17	improved	84765.1234945
V254	improved	-75208.5307634	15397	17	improved	75208.5307634
V255	improved	-84939.7520365	17402	17	improved	84939.7520365
V256	improved	-74845.2487806	15295	17	improved	74845.2487806
V257	improved	-123806.9913591	25386	17	improved	123806.9913591
V258	improved	-110344.0319469	22650	17	improved	110344.0319469
V259	improved	-109516.7789801	22369	17	improved	109516.7789801
V260	improved	-137318.692751	28173	17	improved	137318.692751
V261	improved	-67758.2514881	13812	17	improved	67758.2514881
V262	improved	-143721.7955094	29436	17	improved	143721.7955094
V263	improved	-86692.2845305	17767	17	improved	86692.2845305
V264	improved	-36708.8597115	7462	17	improved	36708.8597115
V265	improved	-115610.2334462	23667	17	improved	115610.2334462
V266	improved	-56532.7244657	11551	17	improved	56532.7244657
V267	improved	-70299.3827161	14377	17	improved	70299.3827161
V268	improved	-71050.1527318	14508	17	improved	71050.1527318
V269	improved	-170669.132696	34938	17	improved	170669.132696
V270	improved	-137707.4373447	28180	17	improved	137707.4373447
V271	improved	-111801.6821064	22935	17	improved	111801.6821064
V272	improved	-118475.2763725	24265	17	improved	118475.2763725
V273	improved	-99228.5875633	20355	17	improved	99228.5875633
V274	improved	-119555.1512324	24441	17	improved	119555.1512324
V275	improved	-105844.5959123	21645	17	improved	105844.5959123
V276	improved	-140307.2317491	28681	17	improved	140307.2317491
V277	improved	-121861.0142845	24983	17	improved	121861.0142845
V278	improved	-137236.9055754	28044	17	improved	137236.9055754
V279	improved	-82020.0332795	16794	17	improved	82020.0332795
V280	improved	-120984.4868934	24741	17	improved	120984.4868934
V281	improved	-130275.2277688	26674	17	improved	130275.2277688
V282	improved	-105655.4011971	21659	17	improved	105655.4011971
V283	improved	-112399.3635324	23069	17	improved	112399.3635324
V284	improved	-30416.9562567	6261	17	improved	30416.9562567
V285	improved	-146098.494895	29948	17	improved	146098.494895
V286	improved	-85627.2665959	17471	17	improved	85627.2665959
V287	improved	-197494.6463655	40532	17	improved	197494.6463655
V288	improved	-70027.6270316	14335	17	improved	70027.6270316
V289	improved	-135386.765359	27660	17	improved	135386.765359
V290	improved	-139034.564066	28414	17	improved	139034.564066
V291	improved	-91350.5759748	18740	17	improved	91350.5759748
V292	improved	-44438.038671	9059	17	improved	44438.038671
V5	wild	-34534.7959334	6980	17	wild	34534.7959334
V6	wild	-32408.0731672	6547	17	wild	32408.0731672
V7	wild	-32808.1796702	6635	17	wild	32808.1796702
V8	wild	-7427.9659309	1499	17	wild	7427.9659309
V9	wild	-19741.386537	3990	17	wild	19741.386537
V10	wild	-32877.6186071	6637	17	wild	32877.6186071
V11	wild	-21795.6507205	4398	17	wild	21795.6507205
V12	wild	-2126.9405351	427	17	wild	2126.9405351
V13	wild	-24038.2502082	4860	17	wild	24038.2502082
V14	wild	-31911.366196	6410	17	wild	31911.366196
V15	wild	-1683.2854189	330	17	wild	1683.2854189
V16	wild	-3545.5343079	699	17	wild	3545.5343079
V17	wild	-19734.2111276	4016	17	wild	19734.2111276
V18	wild	-16023.442208	3237	17	wild	16023.442208
V19	wild	-2826.1456732	565	17	wild	2826.1456732
V20	wild	-28290.6829217	5692	17	wild	28290.6829217
V21	wild	-3806.4538842	761	17	wild	3806.4538842
V22	wild	-3959.4968455	792	17	wild	3959.4968455
V23	wild	-2688.340271	545	17	wild	2688.340271
V24	wild	-2727.4145511	547	17	wild	2727.4145511
V25	wild	-1195.1752928	243	17	wild	1195.1752928
V26	wild	-1724.0669904	345	17	wild	1724.0669904
V27	wild	-35787.0129908	7202	17	wild	35787.0129908
V28	wild	-35280.4462743	7138	17	wild	35280.4462743
V29	wild	-38054.6651926	7675	17	wild	38054.6651926
V30	wild	-31722.4808435	6408	17	wild	31722.4808435
