sample	cutoff	miss	Genetic_load	N_del	cutoff_chr	cutoff_num	Abs_genetic_load	Abs_per_Ndel
PI576385_PI576385	1%	miss50	-80896.2636798	5263	1%	0.01	80896.2636798	15.3707512216987
PI576386_PI576386	1%	miss50	-66566.4622301	4323	1%	0.01	66566.4622301	15.3982100925515
PI576387_PI576387	1%	miss50	-67070.362079	4343	1%	0.01	67070.362079	15.44332536933
PI576390_PI576390	1%	miss50	-93456.6237758	6114	1%	0.01	93456.6237758	15.2856761164213
PI576391_PI576391	1%	miss50	-92908.9708054	6169	1%	0.01	92908.9708054	15.0606209767223
PI576393_PI576393	1%	miss50	-63589.3184152	4580	1%	0.01	63589.3184152	13.8841306583406
PI576394_PI576394	1%	miss50	-91717.0435415	5971	1%	0.01	91717.0435415	15.3604159339307
PI576396_PI576396	1%	miss50	-67121.7508249	4358	1%	0.01	67121.7508249	15.4019620984167
PI576399_PI576399	1%	miss50	-70582.2814388	4692	1%	0.01	70582.2814388	15.043111986104
PI576401_PI576401	1%	miss50	-98435.2731192	6472	1%	0.01	98435.2731192	15.2094056117429
PI576418_PI576418	1%	miss50	-68490.4486033001	4511	1%	0.01	68490.4486033001	15.1829857245179
PI576422_PI576422	1%	miss50	-75184.8527536	4842	1%	0.01	75184.8527536	15.5276441044197
PI576425_PI576425	1%	miss50	-84794.4674413001	8016	1%	0.01	84794.4674413001	10.5781521259107
PI576426_PI576426	1%	miss50	-68754.7221227	4559	1%	0.01	68754.7221227	15.0810971973459
PI576428_PI576428	1%	miss50	-87990.6369388	5724	1%	0.01	87990.6369388	15.3722286755416
PI576434_PI576434	1%	miss50	-70851.6459198	4720	1%	0.01	70851.6459198	15.010941932161
PI576435_PI576435	1%	miss50	-90460.0073305	5901	1%	0.01	90460.0073305	15.3296063939163
PI576437_PI576437	1%	miss50	-78145.0696884	5130	1%	0.01	78145.0696884	15.232957054269
PI585291_PI585291	1%	miss50	-100697.149335	9697	1%	0.01	100697.149335	10.3843610740435
PI585295_PI585295	1%	miss50	-70733.4658024	4586	1%	0.01	70733.4658024	15.4237823380724
PI595699_PI595699	1%	miss50	-74412.646535	4835	1%	0.01	74412.646535	15.3904129338159
PI595702_PI595702	1%	miss50	-75292.5102529	4860	1%	0.01	75292.5102529	15.4922860602675
PI595714_PI595714	1%	miss50	-86248.3666593	5646	1%	0.01	86248.3666593	15.2760125149309
PI595718_PI595718	1%	miss50	-75249.0045084	4963	1%	0.01	75249.0045084	15.161999699456
PI595720_PI595720	1%	miss50	-82538.2230887	5452	1%	0.01	82538.2230887	15.1390724667462
PI595739_PI595739	1%	miss50	-64896.2911258	4205	1%	0.01	64896.2911258	15.4331251190963
PI595740_PI595740	1%	miss50	-83428.0460599	7371	1%	0.01	83428.0460599	11.318416233876
PI595741_PI595741	1%	miss50	-89236.1860173	5830	1%	0.01	89236.1860173	15.3063783906175
PI595743_PI595743	1%	miss50	-87350.4852869	7182	1%	0.01	87350.4852869	12.1624178901281
PI595744_PI595744	1%	miss50	-60796.9406234	3934	1%	0.01	60796.9406234	15.4542299500254
PI595745_PI595745	1%	miss50	-60347.6171474	3929	1%	0.01	60347.6171474	15.3595360517689
PI597945_PI597945	1%	miss50	-88242.1509454	5868	1%	0.01	88242.1509454	15.0378580343217
PI597946_PI597946	1%	miss50	-80532.0532184	5350	1%	0.01	80532.0532184	15.0527202277383
PI597949_PI597949	1%	miss50	-76664.3812138	5016	1%	0.01	76664.3812138	15.2839675466108
PI597950_PI597950	1%	miss50	-59012.9099281	3934	1%	0.01	59012.9099281	15.0007396868582
PI597951_PI597951	1%	miss50	-90447.6975957	5930	1%	0.01	90447.6975957	15.2525628323271
PI597952_PI597952	1%	miss50	-87773.6132535	10104	1%	0.01	87773.6132535	8.68701635525535
PI597957_PI597957	1%	miss50	-78281.0319421	7262	1%	0.01	78281.0319421	10.77954171607
PI597958_PI597958	1%	miss50	-82888.8977002	5402	1%	0.01	82888.8977002	15.3441128656424
PI597960_PI597960	1%	miss50	-56046.238763	3672	1%	0.01	56046.238763	15.2631369180283
PI597961_PI597961	1%	miss50	-66261.2097179	4325	1%	0.01	66261.2097179	15.3205109174335
PI597964_PI597964	1%	miss50	-72637.6606314	4751	1%	0.01	72637.6606314	15.2889203602189
PI597965_PI597965	1%	miss50	-72544.7857438	4737	1%	0.01	72544.7857438	15.3144998403631
PI597966_PI597966	1%	miss50	-79827.1971033	5174	1%	0.01	79827.1971033	15.4285266917859
PI597967_PI597967	1%	miss50	-72377.4564132	4712	1%	0.01	72377.4564132	15.3602411742784
PI597968_PI597968	1%	miss50	-82034.6070394	5410	1%	0.01	82034.6070394	15.1635133159704
PI597971_PI597971	1%	miss50	-66160.4373655	4320	1%	0.01	66160.4373655	15.3149160568287
PI597972_PI597972	1%	miss50	-66951.188443	4467	1%	0.01	66951.188443	14.9879535354824
PI597973_PI597973	1%	miss50	-65227.7785168	4292	1%	0.01	65227.7785168	15.1975252835042
PI597976_PI597976	1%	miss50	-67392.0683203	4407	1%	0.01	67392.0683203	15.2920509009076
PI597980_PI597980	1%	miss50	-63964.2667126	4149	1%	0.01	63964.2667126	15.4167912057363
PI597982_PI597982	1%	miss50	-63758.203494	4267	1%	0.01	63758.203494	14.9421615875322
PI598069_PI598069	1%	miss50	-85979.0016724	5679	1%	0.01	85979.0016724	15.1398136419088
PI598070_PI598070	1%	miss50	-84014.2545978	5843	1%	0.01	84014.2545978	14.3786162241657
PI601816_PI601816	1%	miss50	-69968.9787485	4493	1%	0.01	69968.9787485	15.5728864341197
PI607931_PI607931	1%	miss50	-66705.9881261	4330	1%	0.01	66705.9881261	15.405539982933
PI609456_PI609456	1%	miss50	-22971.2043455	1571	1%	0.01	22971.2043455	14.6220269544876
PI613536_PI613536	1%	miss50	-68522.0559682	4482	1%	0.01	68522.0559682	15.2882766551093
PI629034_PI629034	1%	miss50	-70585.1951751	4602	1%	0.01	70585.1951751	15.3379389776402
PI629040_PI629040	1%	miss50	-111540.7802647	7388	1%	0.01	111540.7802647	15.0975609454115
PI629059_PI629059	1%	miss50	-68237.349352	4398	1%	0.01	68237.349352	15.5155410077308
PI641824_PI641824	1%	miss50	-88951.2287662	6745	1%	0.01	88951.2287662	13.1877285049963
PI641836_PI641836	1%	miss50	-75005.4694576	4838	1%	0.01	75005.4694576	15.5034041871848
PI641849_PI641849	1%	miss50	-101381.7106701	6710	1%	0.01	101381.7106701	15.1090477898808
PI641874_PI641874	1%	miss50	-125222.5401183	8252	1%	0.01	125222.5401183	15.1748109692559
PI642791_PI642791	1%	miss50	-85308.6936088	5541	1%	0.01	85308.6936088	15.3959021131204
PI642793_PI642793	1%	miss50	-78571.0616512	5086	1%	0.01	78571.0616512	15.4484981618561
PI642992_PI642992	1%	miss50	-87267.311369	5731	1%	0.01	87267.311369	15.2272398131216
PI642998_PI642998	1%	miss50	-70133.480268	4666	1%	0.01	70133.480268	15.0307501645949
PI651492_PI651492	1%	miss50	-89189.419541	5840	1%	0.01	89189.419541	15.2721608803082
PI651496_PI651496	1%	miss50	-68686.165581	4468	1%	0.01	68686.165581	15.3729108283348
PI653616_PI653616	1%	miss50	-76193.414063	5159	1%	0.01	76193.414063	14.7690277307618
PI653617_PI653617	1%	miss50	-68354.8323928	4460	1%	0.01	68354.8323928	15.3261956037668
PI655970_PI655970	1%	miss50	-77700.8078454	4979	1%	0.01	77700.8078454	15.6057055323157
PI655971_PI655971	1%	miss50	-114585.5023413	7566	1%	0.01	114585.5023413	15.1447928021808
PI655972_PI655972	1%	miss50	-76889.0986144	4967	1%	0.01	76889.0986144	15.4799876413127
PI655973_PI655973	1%	miss50	-85391.0740526	5600	1%	0.01	85391.0740526	15.2484060808214
PI655974_PI655974	1%	miss50	-76140.055401	5083	1%	0.01	76140.055401	14.9793538070037
PI655975_PI655975	1%	miss50	-90259.0933668	5837	1%	0.01	90259.0933668	15.4632676660613
PI655976_PI655976	1%	miss50	-76646.4252797	4964	1%	0.01	76646.4252797	15.4404563415995
PI655977_PI655977	1%	miss50	-80789.0554107	5242	1%	0.01	80789.0554107	15.411876270641
PI655978_PI655978	1%	miss50	-103694.5242919	6793	1%	0.01	103694.5242919	15.2649086253349
PI655979_PI655979	1%	miss50	-87659.4811902	5744	1%	0.01	87659.4811902	15.2610517392409
