sample	group	cutoff_lab	Genetic_load_sum	n_chr_rows	Abs_genetic_load
V111	improved	10%	-831140.3083975	10	831140.3083975
V112	improved	10%	-1049110.4687845	10	1049110.4687845
V113	improved	10%	-915817.657198	10	915817.657198
V114	improved	10%	-1301847.9332597	10	1301847.9332597
V115	improved	10%	-1154389.7529513	10	1154389.7529513
V116	improved	10%	-935699.8688427	10	935699.8688427
V117	improved	10%	-959324.1782419	10	959324.1782419
V118	improved	10%	-816839.8009941	10	816839.8009941
V119	improved	10%	-1348323.5434198	10	1348323.5434198
V120	improved	10%	-708863.0454176	10	708863.0454176
V121	improved	10%	-1068374.9076748	10	1068374.9076748
V122	improved	10%	-1296939.3655641	10	1296939.3655641
V123	improved	10%	-784431.4909526	10	784431.4909526
V124	improved	10%	-1063625.6781082	10	1063625.6781082
V125	improved	10%	-1171953.6884146	10	1171953.6884146
V126	improved	10%	-1077187.2750401	10	1077187.2750401
V127	improved	10%	-898418.2543353	10	898418.2543353
V128	improved	10%	-955973.637723	10	955973.637723
V129	improved	10%	-1440548.9658825	10	1440548.9658825
V130	improved	10%	-1519039.4349375	10	1519039.4349375
V131	improved	10%	-819541.3388895	10	819541.3388895
V132	improved	10%	-1220282.6102154	10	1220282.6102154
V5	landrace	1%	-188762.8279218	10	188762.8279218
V6	landrace	1%	-193333.3425216	10	193333.3425216
V7	landrace	1%	-166812.2964856	10	166812.2964856
V8	landrace	1%	-201854.9483823	10	201854.9483823
V9	landrace	1%	-234085.0589702	10	234085.0589702
V10	landrace	1%	-215403.7835835	10	215403.7835835
V11	landrace	1%	-229079.1864944	10	229079.1864944
V12	landrace	1%	-239091.9233071	10	239091.9233071
V13	landrace	1%	-156192.7601429	10	156192.7601429
V14	landrace	1%	-221642.5277062	10	221642.5277062
V15	landrace	1%	-149488.9686884	10	149488.9686884
V16	landrace	1%	-134144.849236	10	134144.849236
V17	landrace	1%	-155147.3929677	10	155147.3929677
V18	landrace	1%	-208125.6484941	10	208125.6484941
V19	landrace	1%	-194870.9500968	10	194870.9500968
V20	landrace	1%	-257399.5592612	10	257399.5592612
V21	landrace	1%	-181847.8114625	10	181847.8114625
V22	landrace	1%	-215915.9728208	10	215915.9728208
V23	landrace	1%	-192220.7480988	10	192220.7480988
V24	landrace	1%	-212520.5614754	10	212520.5614754
V25	landrace	1%	-189136.305906	10	189136.305906
V26	landrace	1%	-242566.9793664	10	242566.9793664
V27	landrace	1%	-235455.7536011	10	235455.7536011
V28	landrace	1%	-255708.0086423	10	255708.0086423
V29	landrace	1%	-245265.7078274	10	245265.7078274
V30	landrace	1%	-230384.7846437	10	230384.7846437
V31	landrace	1%	-239646.6936063	10	239646.6936063
V32	landrace	1%	-261277.2458478	10	261277.2458478
V33	landrace	1%	-239032.1782971	10	239032.1782971
V34	landrace	1%	-159322.5617554	10	159322.5617554
V35	landrace	1%	-193826.3900006	10	193826.3900006
V36	landrace	1%	-140151.3360598	10	140151.3360598
V37	landrace	1%	-219470.3318034	10	219470.3318034
V38	landrace	1%	-215707.0901755	10	215707.0901755
V39	landrace	1%	-235594.2504194	10	235594.2504194
V40	landrace	1%	-206706.3445528	10	206706.3445528
V41	landrace	1%	-231610.2886801	10	231610.2886801
V42	landrace	1%	-243157.8480406	10	243157.8480406
V43	landrace	1%	-215224.9948026	10	215224.9948026
V44	landrace	1%	-231238.5442833	10	231238.5442833
V45	landrace	1%	-210580.9014831	10	210580.9014831
V46	landrace	1%	-239073.9808896	10	239073.9808896
V47	landrace	1%	-212711.4840825	10	212711.4840825
V48	landrace	1%	-208503.5482742	10	208503.5482742
V49	landrace	1%	-203451.0235494	10	203451.0235494
V50	landrace	1%	-174671.5558602	10	174671.5558602
V51	landrace	1%	-196462.804246	10	196462.804246
V52	landrace	1%	-234621.4070735	10	234621.4070735
V53	landrace	1%	-200562.1705622	10	200562.1705622
V54	landrace	1%	-215707.7319579	10	215707.7319579
V55	landrace	1%	-147208.7576865	10	147208.7576865
V56	landrace	1%	-212262.3966323	10	212262.3966323
V57	landrace	1%	-234397.9272805	10	234397.9272805
V58	landrace	1%	-169600.0158241	10	169600.0158241
V59	landrace	1%	-142247.6376732	10	142247.6376732
V60	landrace	1%	-169160.5147511	10	169160.5147511
V61	landrace	1%	-244626.962064	10	244626.962064
V62	landrace	1%	-166958.0784663	10	166958.0784663
V63	landrace	1%	-158794.1590967	10	158794.1590967
V64	landrace	1%	-235431.0995465	10	235431.0995465
V65	landrace	1%	-170275.6544919	10	170275.6544919
V66	landrace	1%	-180841.8701816	10	180841.8701816
V67	landrace	1%	-354382.0622477	10	354382.0622477
V68	landrace	1%	-242465.9841681	10	242465.9841681
V69	landrace	1%	-205742.0996393	10	205742.0996393
V70	landrace	1%	-157785.89831	10	157785.89831
V71	landrace	1%	-163374.1061216	10	163374.1061216
V72	landrace	1%	-250285.7220802	10	250285.7220802
V73	landrace	1%	-248966.8263354	10	248966.8263354
V74	landrace	1%	-238215.1137565	10	238215.1137565
V75	landrace	1%	-230648.919428	10	230648.919428
V76	landrace	1%	-231314.7378119	10	231314.7378119
V77	landrace	1%	-169299.7164533	10	169299.7164533
V78	landrace	1%	-235760.4268383	10	235760.4268383
V79	landrace	1%	-238690.1993972	10	238690.1993972
