sample	sub	Genetic_load_sum	n_chr_rows	group	Abs_genetic_load
[251]282set_Pa762:GT	improved	-81272.68895	10	improved	81272.68895
[252]282set_Pa875:GT	improved	-73943.375208	10	improved	73943.375208
[253]282set_Pa880:GT	improved	-74512.99169	10	improved	74512.99169
[254]282set_Pa91:GT	improved	-78319.22519	10	improved	78319.22519
[255]282set_R168:GT	improved	-74022.472635	10	improved	74022.472635
[256]282set_R177:GT	improved	-79641.463502	10	improved	79641.463502
[257]282set_R229:GT	improved	-10982.349104	10	improved	10982.349104
[258]282set_R4:GT	improved	-72480.18637	10	improved	72480.18637
[259]282set_SA24:GT	improved	-78163.746404	10	improved	78163.746404
[260]282set_SC213R:GT	improved	-76899.850598	10	improved	76899.850598
[261]282set_SC357:GT	improved	-76396.925389	10	improved	76396.925389
[262]282set_SC55:GT	improved	-76120.780984	10	improved	76120.780984
[263]282set_SD40:GT	improved	-72475.691356	10	improved	72475.691356
[264]282set_SD44:GT	improved	-72932.359503	10	improved	72932.359503
[265]282set_Sg1533:GT	improved	-77714.845107	10	improved	77714.845107
[266]282set_Sg18:GT	improved	-77168.599366	10	improved	77168.599366
[267]282set_T232:GT	improved	-74103.017099	10	improved	74103.017099
[268]282set_T234:GT	improved	-75533.188095	10	improved	75533.188095
[269]282set_T8:GT	improved	-77711.904844	10	improved	77711.904844
[270]282set_Tx303:GT	improved	-75626.722025	10	improved	75626.722025
[271]282set_Tx601:GT	improved	-75932.3223	10	improved	75932.3223
[272]282set_Tzi10:GT	improved	-77613.528922	10	improved	77613.528922
[273]282set_Tzi11:GT	improved	-74227.279883	10	improved	74227.279883
[274]282set_Tzi16:GT	improved	-73700.979502	10	improved	73700.979502
[275]282set_Tzi18:GT	improved	-77065.607045	10	improved	77065.607045
[276]282set_Tzi25:GT	improved	-64251.898783	10	improved	64251.898783
[277]282set_Tzi8:GT	improved	-75297.440334	10	improved	75297.440334
[278]282set_Tzi9:GT	improved	-77095.411833	10	improved	77095.411833
[279]282set_U267Y:GT	improved	-75712.090151	10	improved	75712.090151
[280]282set_VA102:GT	improved	-77495.793287	10	improved	77495.793287
[281]282set_Va14:GT	improved	-76775.056456	10	improved	76775.056456
[282]282set_Va17:GT	improved	-76303.714433	10	improved	76303.714433
[283]282set_Va22:GT	improved	-79176.613343	10	improved	79176.613343
[284]282set_Va26:GT	improved	-78116.977642	10	improved	78116.977642
[285]282set_Va35:GT	improved	-79718.855525	10	improved	79718.855525
[286]282set_Va59:GT	improved	-80332.971724	10	improved	80332.971724
