sample	PI	Race	cutoff	Abs_genetic_load
PI656083_PI656083	PI656083	Caudatum	1%	80298.3624585
PI656085_PI656085	PI656085	Guinea	1%	68774.2175809
PI656086_PI656086	PI656086	Bicolor	1%	77032.4059884
PI656087_PI656087	PI656087	Guinea	1%	66502.6698763
PI656088_PI656088	PI656088	Bicolor	1%	90801.9772763
PI656089_PI656089	PI656089	Bicolor	1%	90893.1418202
PI656090_PI656090	PI656090	Guinea	1%	65836.2506709
PI656091_PI656091	PI656091	Bicolor	1%	92370.7995303
PI656092_PI656092	PI656092	Bicolor	1%	86156.3522608
PI656093_PI656093	PI656093	Caudatum	1%	64272.3665555
PI656094_PI656094	PI656094	Caudatum	1%	64700.5590761
PI656095_PI656095	PI656095	Caudatum	1%	73965.4649651
PI656096_PI656096	PI656096	Caudatum	1%	65723.4246265
PI656097_PI656097	PI656097	Bicolor	1%	82664.6943965
PI656098_PI656098	PI656098	Guinea	1%	59168.9976685
PI656099_PI656099	PI656099	Bicolor	1%	87440.2627343
PI656100_PI656100	PI656100	Bicolor	1%	98385.0977249
PI656101_PI656101	PI656101	Kafir	1%	86610.5723429
PI656102_PI656102	PI656102	Guinea	1%	58673.5409573
PI656103_PI656103	PI656103	Bicolor	1%	80565.2024766
PI656104_PI656104	PI656104	Caudatum	1%	88479.7363767
PI656105_PI656105	PI656105	Guinea	1%	66025.265473
PI656106_PI656106	PI656106	Guinea	1%	63849.7474205
PI656107_PI656107	PI656107	Kafir	1%	85427.0234003
PI656108_PI656108	PI656108	Bicolor	1%	71615.7765306
PI656109_PI656109	PI656109	Kafir	1%	81747.1340331
PI656110_PI656110	PI656110	Bicolor	1%	77919.4557116
PI656111_PI656111	PI656111	Guinea	1%	64348.9872959
PI656112_PI656112	PI656112	Durra	1%	75047.1737982
PI656113_PI656113	PI656113	Bicolor	1%	83733.0159451
PI656114_PI656114	PI656114	Bicolor	1%	73778.0364291
PI656115_PI656115	PI656115	Kafir	1%	100126.2984135
PI656116_PI656116	PI656116	Guinea	1%	69004.2051923
PI656118_PI656118	PI656118	Guinea	1%	66031.7210711
PI656119_PI656119	PI656119	Caudatum	1%	71951.6613984
PI656120_PI656120	PI656120	Guinea	1%	84335.6047224
PI656121_PI656121	PI656121	Guinea	1%	70829.327735
PI659691_PI659691	PI659691	Milo/Durra-Bicolor	1%	75394.4673219
PI659694_PI659694	PI659694	Guinea	1%	96571.9452946
PI659695_PI659695	PI659695	Bicolor	1%	79179.4926549
PI659696_PI659696	PI659696	Guinea	1%	78653.9125447
PI659753_PI659753	PI659753	Bicolor	1%	94562.0839625
