sample	PI	Race	Abs_genetic_load
PI597946_PI597946	PI597946	Guinea	80532.0532184
PI597949_PI597949	PI597949	Durra	76664.3812138
PI597950_PI597950	PI597950	Guinea	59012.9099281
PI597951_PI597951	PI597951	Caudatum	90447.6975957
PI597952_PI597952	PI597952	Bicolor	87773.6132535
PI597957_PI597957	PI597957	Bicolor	78281.0319421
PI597958_PI597958	PI597958	Durra	82888.8977002
PI597960_PI597960	PI597960	Caudatum	56046.238763
PI597961_PI597961	PI597961	Guinea	66261.2097179
PI597964_PI597964	PI597964	Milo/Durra-Bicolor	72637.6606314
PI597965_PI597965	PI597965	Guinea	72544.7857438
PI597966_PI597966	PI597966	Guinea	79827.1971033
PI597967_PI597967	PI597967	Milo/Durra-Bicolor	72377.4564132
PI597968_PI597968	PI597968	Guinea	82034.6070394
PI597971_PI597971	PI597971	Guinea	66160.4373655
PI597972_PI597972	PI597972	Bicolor	66951.188443
PI597973_PI597973	PI597973	Bicolor	65227.7785168
PI597976_PI597976	PI597976	Caudatum	67392.0683203
PI597980_PI597980	PI597980	Guinea	63964.2667126
PI597982_PI597982	PI597982	Guinea	63758.203494
PI598069_PI598069	PI598069	Bicolor	85979.0016724
PI598070_PI598070	PI598070	Bicolor	84014.2545978
PI601816_PI601816	PI601816	Milo/Durra-Bicolor	69968.9787485
PI607931_PI607931	PI607931	Guinea	66705.9881261
PI609456_PI609456	PI609456	Caudatum	22971.2043455
PI613536_PI613536	PI613536	Bicolor	68522.0559682
PI629034_PI629034	PI629034	Guinea	70585.1951751
PI629040_PI629040	PI629040	Bicolor	111540.7802647
PI629059_PI629059	PI629059	Durra	68237.349352
PI641824_PI641824	PI641824	Durra	88951.2287662
PI641836_PI641836	PI641836	Durra	75005.4694576
PI641849_PI641849	PI641849	Durra	101381.7106701
PI641874_PI641874	PI641874	Bicolor	125222.5401183
PI642791_PI642791	PI642791	Milo/Durra-Bicolor	85308.6936088
PI642793_PI642793	PI642793	Durra	78571.0616512
PI642992_PI642992	PI642992	Guinea	87267.311369
PI642998_PI642998	PI642998	Bicolor	70133.480268
PI651492_PI651492	PI651492	Milo/Durra-Bicolor	89189.419541
PI651496_PI651496	PI651496	Guinea	68686.165581
PI653616_PI653616	PI653616	Guinea	76193.414063
PI653617_PI653617	PI653617	Guinea	68354.8323928
PI655970_PI655970	PI655970	Durra	77700.8078454
PI655971_PI655971	PI655971	Bicolor	114585.5023413
PI655972_PI655972	PI655972	Durra	76889.0986144
PI655973_PI655973	PI655973	Kafir	85391.0740526
PI655974_PI655974	PI655974	Durra	76140.055401
PI655975_PI655975	PI655975	Durra	90259.0933668
PI655976_PI655976	PI655976	Durra	76646.4252797
PI655977_PI655977	PI655977	Milo/Durra-Bicolor	80789.0554107
PI655978_PI655978	PI655978	Caudatum	103694.5242919
PI655979_PI655979	PI655979	Caudatum	87659.4811902
PI655980_PI655980	PI655980	Bicolor	69758.2702901
PI655981_PI655981	PI655981	Caudatum	84614.3307818
PI655982_PI655982	PI655982	Durra	66858.8051802
PI655983_PI655983	PI655983	Durra	75229.6120323
PI655984_PI655984	PI655984	Kafir	105120.0520932
PI655985_PI655985	PI655985	Durra	89980.5992175
PI655986_PI655986	PI655986	Bicolor	89754.0457544
PI655987_PI655987	PI655987	Durra	75467.34445
PI655988_PI655988	PI655988	Durra	78442.3273778
PI655989_PI655989	PI655989	Durra	74145.1037245
PI655990_PI655990	PI655990	Bicolor	114784.9656295
PI655991_PI655991	PI655991	Durra	84609.1298122
PI655992_PI655992	PI655992	Durra	75661.1255387
PI655993_PI655993	PI655993	Durra	87958.4310042
PI655994_PI655994	PI655994	Durra	83647.4235734
PI655995_PI655995	PI655995	Bicolor	74687.3149763
PI655996_PI655996	PI655996	Caudatum	101464.3439106
PI655997_PI655997	PI655997	Bicolor	109873.5548082
PI655998_PI655998	PI655998	Caudatum	80124.8013227
PI655999_PI655999	PI655999	Bicolor	63866.4092524
PI656000_PI656000	PI656000	Milo/Durra-Bicolor	64388.1530101
PI656001_PI656001	PI656001	Milo/Durra-Bicolor	66207.3031792
PI656002_PI656002	PI656002	Durra	74872.7800015
PI656003_PI656003	PI656003	Durra	88029.2031046
PI656004_PI656004	PI656004	Caudatum	106928.8665747
PI656005_PI656005	PI656005	Durra	80936.5102396
PI656006_PI656006	PI656006	Durra	85590.8348524
PI656007_PI656007	PI656007	Durra	65091.4171369
PI656008_PI656008	PI656008	Milo/Durra-Bicolor	84703.1507547
PI656009_PI656009	PI656009	Guinea	67738.0118241
PI656010_PI656010	PI656010	Caudatum	95788.7739858
PI656011_PI656011	PI656011	Milo/Durra-Bicolor	91251.1604776
PI656012_PI656012	PI656012	Bicolor	108448.2911401
PI656013_PI656013	PI656013	Bicolor	90820.5026511
PI656014_PI656014	PI656014	Caudatum	77866.9237118
PI656015_PI656015	PI656015	Kafir	86336.912426
PI656016_PI656016	PI656016	Milo/Durra-Bicolor	85201.6292487
PI656017_PI656017	PI656017	Bicolor	113781.1413154
PI656018_PI656018	PI656018	Durra	100811.620233
PI656019_PI656019	PI656019	Durra	84493.7356851
PI656020_PI656020	PI656020	Durra	83691.4330651
PI656021_PI656021	PI656021	Bicolor	110958.6327004
PI656022_PI656022	PI656022	Durra	75772.1518435
PI656023_PI656023	PI656023	Durra	75622.9772895
PI656024_PI656024	PI656024	Milo/Durra-Bicolor	79539.1069104
PI656025_PI656025	PI656025	Bicolor	97193.9662597
PI656026_PI656026	PI656026	Milo/Durra-Bicolor	76883.8242029
PI656027_PI656027	PI656027	Guinea	76250.2603467
PI656028_PI656028	PI656028	Durra	74215.0625961
PI656029_PI656029	PI656029	Bicolor	74683.2304356
PI656031_PI656031	PI656031	Guinea	65585.5562625
PI656032_PI656032	PI656032	Caudatum	88128.0621853
PI656033_PI656033	PI656033	Bicolor	112697.2130934
PI656034_PI656034	PI656034	Milo/Durra-Bicolor	79252.4841775
PI656035_PI656035	PI656035	Guinea	72960.8108442
PI656036_PI656036	PI656036	Milo/Durra-Bicolor	90973.8719152
PI656037_PI656037	PI656037	Milo/Durra-Bicolor	81056.6463448
PI656038_PI656038	PI656038	Durra	74636.5932612
PI656039_PI656039	PI656039	Milo/Durra-Bicolor	77599.4158844
PI656040_PI656040	PI656040	Caudatum	97162.4385451
PI656041_PI656041	PI656041	Bicolor	113526.4527792
PI656042_PI656042	PI656042	Durra	98253.4551764
PI656043_PI656043	PI656043	Milo/Durra-Bicolor	87758.5976307
PI656044_PI656044	PI656044	Milo/Durra-Bicolor	76507.9391997
PI656046_PI656046	PI656046	Bicolor	91371.1128917
PI656047_PI656047	PI656047	Bicolor	90018.9053887
PI656048_PI656048	PI656048	Milo/Durra-Bicolor	63989.531743
PI656049_PI656049	PI656049	Durra	73404.5283006
PI656050_PI656050	PI656050	Guinea	69084.5562134
PI656051_PI656051	PI656051	Milo/Durra-Bicolor	86967.2913635
PI656052_PI656052	PI656052	Durra	94131.3420902
PI656053_PI656053	PI656053	Milo/Durra-Bicolor	75198.8273962
PI656054_PI656054	PI656054	Caudatum	81780.9420016
PI656055_PI656055	PI656055	Milo/Durra-Bicolor	98436.4561706001
PI656056_PI656056	PI656056	Milo/Durra-Bicolor	88936.1647856
PI656057_PI656057	PI656057	Guinea	85403.0694482
PI656058_PI656058	PI656058	Durra	76566.6811476
PI656059_PI656059	PI656059	Milo/Durra-Bicolor	63843.4384506
PI656060_PI656060	PI656060	Durra	75081.4796043
PI656061_PI656061	PI656061	Durra	68361.2707957
PI656062_PI656062	PI656062	Milo/Durra-Bicolor	91580.6186042
PI656063_PI656063	PI656063	Durra	66754.9089303
PI656064_PI656064	PI656064	Bicolor	104650.3177963
PI656065_PI656065	PI656065	Kafir	85809.701492
PI656066_PI656066	PI656066	Bicolor	83967.5927305
PI656067_PI656067	PI656067	Bicolor	90724.8534675
PI656068_PI656068	PI656068	Milo/Durra-Bicolor	86756.9044138
PI656069_PI656069	PI656069	Guinea	64186.1801372
PI656070_PI656070	PI656070	Guinea	69245.058017
PI656071_PI656071	PI656071	Guinea	75314.6600162
PI656072_PI656072	PI656072	Bicolor	97870.8529834
PI656073_PI656073	PI656073	Kafir	87741.0222924
PI656074_PI656074	PI656074	Kafir	69834.4632753
PI656075_PI656075	PI656075	Guinea	69229.7374237
PI656076_PI656076	PI656076	Milo/Durra-Bicolor	87424.3411635
PI656077_PI656077	PI656077	Bicolor	75744.603053
PI656078_PI656078	PI656078	Caudatum	23479.9364026
PI656079_PI656079	PI656079	Caudatum	72519.3408345
PI656080_PI656080	PI656080	Durra	67808.6578324
PI656081_PI656081	PI656081	Caudatum	19546.8576634
PI656082_PI656082	PI656082	Bicolor	96354.4213144
PI656083_PI656083	PI656083	Caudatum	80298.3624585
PI656085_PI656085	PI656085	Guinea	68774.2175809
PI656086_PI656086	PI656086	Bicolor	77032.4059884
PI656087_PI656087	PI656087	Guinea	66502.6698763
PI656088_PI656088	PI656088	Bicolor	90801.9772763
PI656089_PI656089	PI656089	Bicolor	90893.1418202
PI656090_PI656090	PI656090	Guinea	65836.2506709
PI656091_PI656091	PI656091	Bicolor	92370.7995303
PI656092_PI656092	PI656092	Bicolor	86156.3522608
PI656093_PI656093	PI656093	Caudatum	64272.3665555
PI656094_PI656094	PI656094	Caudatum	64700.5590761
PI656095_PI656095	PI656095	Caudatum	73965.4649651
PI656096_PI656096	PI656096	Caudatum	65723.4246265
PI656097_PI656097	PI656097	Bicolor	82664.6943965
PI656098_PI656098	PI656098	Guinea	59168.9976685
PI656099_PI656099	PI656099	Bicolor	87440.2627343
PI656100_PI656100	PI656100	Bicolor	98385.0977249
PI656101_PI656101	PI656101	Kafir	86610.5723429
PI656102_PI656102	PI656102	Guinea	58673.5409573
PI656103_PI656103	PI656103	Bicolor	80565.2024766
PI656104_PI656104	PI656104	Caudatum	88479.7363767
PI656105_PI656105	PI656105	Guinea	66025.265473
PI656106_PI656106	PI656106	Guinea	63849.7474205
PI656107_PI656107	PI656107	Kafir	85427.0234003
PI656108_PI656108	PI656108	Bicolor	71615.7765306
PI656109_PI656109	PI656109	Kafir	81747.1340331
PI656110_PI656110	PI656110	Bicolor	77919.4557116
PI656111_PI656111	PI656111	Guinea	64348.9872959
PI656112_PI656112	PI656112	Durra	75047.1737982
PI656113_PI656113	PI656113	Bicolor	83733.0159451
PI656114_PI656114	PI656114	Bicolor	73778.0364291
PI656115_PI656115	PI656115	Kafir	100126.2984135
PI656116_PI656116	PI656116	Guinea	69004.2051923
PI656118_PI656118	PI656118	Guinea	66031.7210711
PI656119_PI656119	PI656119	Caudatum	71951.6613984
PI656120_PI656120	PI656120	Guinea	84335.6047224
PI656121_PI656121	PI656121	Guinea	70829.327735
PI659691_PI659691	PI659691	Milo/Durra-Bicolor	75394.4673219
PI659694_PI659694	PI659694	Guinea	96571.9452946
PI659695_PI659695	PI659695	Bicolor	79179.4926549
PI659696_PI659696	PI659696	Guinea	78653.9125447
PI659753_PI659753	PI659753	Bicolor	94562.0839625
