"Taxa"	"HN"	"LN"
"224"	"PI597976"	29.0850460555333	19.9021778092553
"225"	"PI597980"	22.3473844640061	22.1333333333333
"226"	"PI597982"	42.8551632301139	21.8175665917715
"227"	"PI598069"	NA	NA
"228"	"PI598070"	31.0333333333352	24.5684052709281
"229"	"PI601816"	34.5635132822612	24.8815868448601
"230"	"PI607931"	41.3257487456611	18.133333333333
"231"	"PI609456"	26.3254667067855	18.3333333333329
"232"	"PI613536"	31.2000000000027	22.3372357997119
"233"	"PI629034"	47.2898152869373	18.7740609528267
"234"	"PI629040"	45.571369126682	23.6999999999996
"235"	"PI629059"	35.7877129523143	24.9521324866095
"236"	"PI641824"	30.523039441605	24.0815868448601
"237"	"PI641836"	32.7437014887272	17.8
"238"	"PI641849"	39.7508435631376	23.2350719375947
"239"	"PI641874"	30.4000000000025	26.1508999251048
"240"	"PI642791"	32.973911187973	15.9235634605237
"241"	"PI642793"	NA	NA
"242"	"PI642992"	NA	NA
"243"	"PI642998"	45.683936929076	23.0333333333333
"244"	"PI651492"	NA	NA
"245"	"PI651496"	47.5538999874502	21.0333333333333
"246"	"PI653616"	NA	NA
"247"	"PI653617"	39.0024721926958	23.9333333333333
"248"	"PI655970"	34.4381200302918	20.9487067379707
"249"	"PI655971"	34.9538999874505	27.0666666666663
"250"	"PI655972"	23.5473844640058	20.8153734046373
"251"	"PI655973"	32.3850460555329	17.4842332584382
"252"	"PI655974"	36.8563727749383	24.2611771710208
"253"	"PI655975"	37.7195647341407	20.1333333333331
"254"	"PI655976"	38.6439485481253	20.8333333333332
"255"	"PI655977"	39.0405778546401	16.4666666666665
"256"	"PI655978"	NA	NA
"257"	"PI655979"	36.4772818814582	15.7073942861601
"258"	"PI655980"	42.9749462730956	18.0666666666665
"259"	"PI655981"	29.0473844640066	21.2546882549096
"260"	"PI655982"	33.0114155761151	26.5355111425886
"261"	"PI655983"	29.6000000000028	16.3453652863048
"262"	"PI655984"	32.1345049143791	14.7705691330452
"263"	"PI655985"	30.3897560049331	25.088021588243
"264"	"PI655986"	33.1692304413884	23.3278438376875
"265"	"PI655987"	31.9999121395599	24.5666666666666
"266"	"PI655988"	33.1563727749381	21.0999999999997
"267"	"PI655989"	35.5666666666715	15.3286986196381
"268"	"PI655990"	28.800000000004	20.2278438376875
"269"	"PI655991"	37.7000000000024	25.8187991532761
"270"	"PI655992"	35.535805526034	17.4333333333333
"271"	"PI655993"	34.7380357933489	20.4350719375947
"272"	"PI655994"	34.7380357933492	22.9333333333329
"273"	"PI655995"	53.7909687561436	28.2666666666663
"274"	"PI655996"	NA	NA
"275"	"PI655997"	45.7045035831885	19.1149201781934
"276"	"PI655998"	42.0200522910949	19.4508999251048
"277"	"PI655999"	41.2898152869368	28.1235634605237
"278"	"PI656000"	NA	NA
"279"	"PI656001"	35.3978538253214	20.088021588243
"280"	"PI656002"	40.1024721927021	22.5705691330453
"281"	"PI656003"	NA	NA
"282"	"PI656004"	29.1500000000022	32.2482535115267
"283"	"PI656005"	NA	NA
"284"	"PI656006"	45.9959230275234	19.5187991532761
"285"	"PI656007"	28.3373287137883	17.1786986196381
"286"	"PI656008"	44.4539170977609	21.3999999999999
"287"	"PI656009"	35.4039170977605	27.8350719375947
"288"	"PI656010"	45.5666666666662	13.9073942861601
"289"	"PI656011"	NA	NA
"290"	"PI656012"	NA	NA
"291"	"PI656013"	NA	NA
"292"	"PI656014"	NA	NA
"293"	"PI656015"	33.8877129523165	18.082040071304
"294"	"PI656016"	NA	NA
"295"	"PI656017"	NA	NA
"296"	"PI656018"	34.8000000000022	17.1521324866095
"297"	"PI656019"	29.6333333334005	30.3945105043542
"298"	"PI656020"	42.4680416788675	23.5666666666665
"299"	"PI656021"	NA	NA
"300"	"PI656022"	34.7106152147919	24.1999999999997
"301"	"PI656023"	22.5179682284293	23.2333333333329
"302"	"PI656024"	42.0333333333363	21.7740609528267
"303"	"PI656025"	43.8666666666711	26.1902301271903
"304"	"PI656026"	24.9313213930778	17.6999999999996
"305"	"PI656027"	NA	NA
"306"	"PI656028"	36.8897061082721	28.2278438376875
"307"	"PI656029"	43.4907597974138	22.2278438376875
"308"	"PI656031"	34.4771440007256	17.1735634605237
"309"	"PI656032"	NA	NA
"310"	"PI656033"	36.1206508910597	21.9333333333332
"311"	"PI656034"	39.7000000000024	28.268844475922
"312"	"PI656035"	NA	NA
"313"	"PI656036"	32.1666666666721	20.4333333333332
"314"	"PI656037"	41.3398152869369	22.7666666666664
"315"	"PI656038"	34.1564226716001	21.268844475922
"316"	"PI656039"	36.1104180520553	25.4333333333329
"317"	"PI656040"	NA	NA
"318"	"PI656041"	25.6060923411783	20.482040071304
"319"	"PI656042"	NA	NA
"320"	"PI656043"	45.6447489094455	26.1021778092553
"321"	"PI656044"	34.3949574736185	19.4149201781934
"322"	"PI656046"	25.0140511306727	22.8453652863048
"323"	"PI656047"	32.0358055260341	12.0407276194934
"324"	"PI656048"	NA	NA
"325"	"PI656049"	41.2666666666665	24.2999999999996
"326"	"PI656050"	NA	NA
"327"	"PI656051"	20.2172702624107	25.356896793857
"328"	"PI656052"	27.3667509036153	19.2842332584382
"329"	"PI656053"	40.438035793349	19.7039024663786
"330"	"PI656054"	NA	NA
"331"	"PI656055"	40.2397061082717	29.2333333333332
"332"	"PI656056"	45.6999999999994	25.5333333333329
"333"	"PI656057"	37.233333333401	23.7333333333329
"334"	"PI656058"	40.9897061082719	13.6999999999999
"335"	"PI656059"	25.8000842369453	15.7546882549096
"336"	"PI656060"	45.4678975297162	20.5073942861601
"337"	"PI656061"	41.653917097756	23.9705691330452
