"Taxa"	"HN"	"LN"
"228"	"PI598070"	5.16666666666667	4.66666666666667
"229"	"PI601816"	5.16666666702818	3.66666666666667
"230"	"PI607931"	5.49999999987981	3.50000000000006
"231"	"PI609456"	5.1666666668066	3.32117945683429
"232"	"PI613536"	5.5	3.70399302414462
"233"	"PI629034"	5.75	4.30792917480406
"234"	"PI629040"	4.66666666666667	4
"235"	"PI629059"	5.66666666654648	4.16666666666664
"236"	"PI641824"	5	4.49999999999998
"237"	"PI641836"	5.66666666688046	4.16666666666665
"238"	"PI641849"	5.66666666665887	3.99999999999998
"239"	"PI641874"	5.33333333333333	4.3333333333333
"240"	"PI642791"	5.5	3.54762776614103
"241"	"PI642793"	NA	NA
"242"	"PI642992"	NA	NA
"243"	"PI642998"	5.83333333300668	3.82117945683429
"244"	"PI651492"	NA	NA
"245"	"PI651496"	6.16666666666667	4.11137509782425
"246"	"PI653616"	NA	NA
"247"	"PI653617"	5.16666666651115	3.83333333333335
"248"	"PI655970"	4.33333333332553	4.00000000000006
"249"	"PI655971"	6.16666666666667	3.91363797161169
"250"	"PI655972"	5.83333333333333	4.49999999999998
"251"	"PI655973"	6	3.73489725013377
"252"	"PI655974"	4.66666666666667	3.60005687348669
"253"	"PI655975"	5.33333333369485	3.66666666666667
"254"	"PI655976"	5.66666666666667	3.180771392893
"255"	"PI655977"	6	3.66666666666667
"256"	"PI655978"	NA	NA
"257"	"PI655979"	5.16666666666667	5.04762776614103
"258"	"PI655980"	5.16666666654648	2.43339020682002
"259"	"PI655981"	5.33333333333334	3.33333333333339
"260"	"PI655982"	4.66666666680659	3.99999999999998
"261"	"PI655983"	5.33333333333334	3.65451279016763
"262"	"PI655984"	6.00000000013993	4.27804176449092
"263"	"PI655985"	5.33333333333334	4.62065969081129
"264"	"PI655986"	6.66666666665887	4.66666666666673
"265"	"PI655987"	4.50000000013993	3.680771392893
"266"	"PI655988"	5.5	3.83333333333332
"267"	"PI655989"	6.16666666666667	4
"268"	"PI655990"	5.25	4
"269"	"PI655991"	5.5	3.82853199213018
"270"	"PI655992"	6.16666666651114	3.73489725013377
"271"	"PI655993"	6.5	4.00000000000006
"272"	"PI655994"	4.66666666666667	3.95399302414462
"273"	"PI655995"	5.99999999984448	3.76672354015336
"274"	"PI655996"	NA	NA
"275"	"PI655997"	5.49999999967335	3.32853199213018
"276"	"PI655998"	5.83333333332553	3.66666666666672
"277"	"PI655999"	4.16666666666667	3.65451279016763
"278"	"PI656000"	NA	NA
"279"	"PI656001"	6.16666666665887	3.34743805955967
"280"	"PI656002"	6.16666666651114	3.84743805955967
"281"	"PI656003"	NA	NA
"282"	"PI656004"	4.75	5
"283"	"PI656005"	NA	NA
