species	sample	group	Genetic_load_sum	N_del_sum	n_chr_rows	abs_per_ndel	wild_median_abs_per_ndel	ratio_vs_wild
maize	[729]LH52:GT	improved	-82748.007032	14544	10	5.68949443289329	5.59556210133887	1.01678693397611
maize	[730]LH54:GT	improved	-82226.013365	14456	10	5.68801974024627	5.59556210133887	1.01652338714734
maize	[731]LH57:GT	improved	-82169.674149	14482	10	5.67391756311283	5.59556210133887	1.01400314398355
maize	[732]LH59:GT	improved	-82226.20003	14493	10	5.67351135237701	5.59556210133887	1.0139305488218
maize	[733]LH60:GT	improved	-81667.076972	14386	10	5.67684394355624	5.59556210133887	1.01452612637396
maize	[734]LH61:GT	improved	-81002.899955	14236	10	5.69000421150604	5.59556210133887	1.01687803806959
maize	[735]LH65:GT	improved	-81801.236619	14403	10	5.67945821141429	5.59556210133887	1.01499333017059
maize	[736]LH74:GT	improved	-28716.126386	5086	10	5.6461121482501	5.59556210133887	1.00903395333583
maize	[737]LH82:GT	improved	-76043.029055	13424	10	5.66470717036651	5.59556210133887	1.01235712655411
maize	[738]LH85:GT	improved	-74586.965928	13174	10	5.66167951480188	5.59556210133887	1.01181604497736
maize	[739]LH93:GT	improved	-75565.177106	13334	10	5.66710492770362	5.59556210133887	1.01278563709402
maize	[740]lian87:GT	improved	-79780.263875	14092	10	5.66138687730627	5.59556210133887	1.01176374683638
maize	[741]liao2202:GT	improved	-77123.879035	13600	10	5.67087345845588	5.59556210133887	1.01345912273925
maize	[742]liao2204:GT	improved	-74586.576237	13161	10	5.66724232482334	5.59556210133887	1.01281019175309
maize	[743]liao4271:GT	improved	-75429.922011	13284	10	5.67825368947606	5.59556210133887	1.01477806637467
maize	[744]liao5110:GT	improved	-65343.671508	11505	10	5.67958900547588	5.59556210133887	1.01501670477697
maize	[745]liao7794:GT	improved	-54256.006047	9525	10	5.69616861385827	5.59556210133887	1.01797969724888
maize	[746]LIBC4:GT	improved	-79223.370866	13994	10	5.66123844976418	5.59556210133887	1.01173722089682
maize	[747]LM-2:GT	improved	-83626.980306	14734	10	5.67578256454459	5.59556210133887	1.01433644408781
maize	[748]Lo:GT	improved	-73872.668713	13045	10	5.66291059509391	5.59556210133887	1.01203605509783
maize	[749]Lo1067:GT	improved	-70197.359057	12385	10	5.66793371473557	5.59556210133887	1.0129337521568
maize	[750]Lo1125:GT	improved	-86396.90194	15252	10	5.66462771702072	5.59556210133887	1.01234292720392
maize	[751]longkang1:GT	improved	-81181.301119	14312	10	5.67225413072946	5.59556210133887	1.01370586689981
maize	[752]longkang11:GT	improved	-82323.461039	14514	10	5.67200365433375	5.59556210133887	1.01366110349782
maize	[753]Los-6:GT	improved	-46612.238062	8198	10	5.68580605781898	5.59556210133887	1.016127773197
maize	[754]LP1:GT	improved	-58257.002918	10278	10	5.6681263784783	5.59556210133887	1.01296818368294
maize	[755]Lp215D:GT	improved	-80261.501315	14110	10	5.68827082317505	5.59556210133887	1.01656825894471
maize	[756]LP5:GT	improved	-17410.276827	3095	10	5.6252913819063	5.59556210133887	1.00531301056606
maize	[757]lu65:GT	improved	-79626.150362	14083	10	5.65406166029965	5.59556210133887	1.01045463492341
maize	[758]luosu3:GT	improved	-77491.424057	13707	10	5.65341971671409	5.59556210133887	1.01033991122382
maize	[759]luyuan133:GT	improved	-77607.70426	13687	10	5.67017639073574	5.59556210133887	1.01333454763714
maize	[760]luyuan92:GT	improved	-76209.017678	13482	10	5.65264928630767	5.59556210133887	1.01020222525189
maize	[761]lv28:GT	improved	-76917.506509	13600	10	5.65569900801471	5.59556210133887	1.01074725033638
maize	[762]lv45:GT	improved	-75708.96642	13368	10	5.66344751795332	5.59556210133887	1.01213201022257
maize	[763]Lx9801:GT	improved	-83051.260322	14667	10	5.66245723883548	5.59556210133887	1.01195503441569
maize	[764]M101:GT	improved	-79868.665584	14075	10	5.6745055477087	5.59556210133887	1.01410822450723
maize	[765]M1016:GT	improved	-81659.97647	14402	10	5.67004419316762	5.59556210133887	1.01331092220582
