sample	cutoff	miss	Genetic_load	N_del
PI597976_PI597976	25%	miss50	-1152584.9143496	117219
PI597980_PI597980	25%	miss50	-1110839.8942929	110636
PI597982_PI597982	25%	miss50	-1065787.5633873	108919
PI598069_PI598069	25%	miss50	-1469946.6863438	148306
PI598070_PI598070	25%	miss50	-1435313.2014131	153725
PI601816_PI601816	25%	miss50	-1181710.6756294	116680
PI607931_PI607931	25%	miss50	-1136289.5233508	113402
PI609456_PI609456	25%	miss50	-492431.6132892	53325
PI613536_PI613536	25%	miss50	-1158678.0902795	116863
PI629034_PI629034	25%	miss50	-1184187.424159	118358
PI629040_PI629040	25%	miss50	-1840930.8070663	185475
PI629059_PI629059	25%	miss50	-1168006.4339945	115715
PI641824_PI641824	25%	miss50	-1522847.4264058	175986
PI641836_PI641836	25%	miss50	-1304663.9009716	129562
PI641849_PI641849	25%	miss50	-1731707.3396345	174274
PI641874_PI641874	25%	miss50	-2005346.1313108	200879
PI642791_PI642791	25%	miss50	-1435538.665723	143092
PI642793_PI642793	25%	miss50	-1303618.7277542	130001
PI642992_PI642992	25%	miss50	-1489144.5096208	148734
PI642998_PI642998	25%	miss50	-1242180.6670005	125731
PI651492_PI651492	25%	miss50	-1480273.5803254	147999
PI651496_PI651496	25%	miss50	-1175136.0141495	117457
PI653616_PI653616	25%	miss50	-1274976.4494764	132391
PI653617_PI653617	25%	miss50	-1188107.8057406	119024
PI655970_PI655970	25%	miss50	-1322323.4693137	130550
PI655971_PI655971	25%	miss50	-1854160.5225197	186381
PI655972_PI655972	25%	miss50	-1303612.7232904	129609
PI655973_PI655973	25%	miss50	-1435656.3030072	143703
PI655974_PI655974	25%	miss50	-1306816.9402217	133587
PI655975_PI655975	25%	miss50	-1488443.0451547	147791
PI655976_PI655976	25%	miss50	-1309158.4174232	130240
PI655977_PI655977	25%	miss50	-1353923.4054831	134242
PI655978_PI655978	25%	miss50	-1700005.2547267	170290
PI655979_PI655979	25%	miss50	-1427577.7502678	143991
PI655980_PI655980	25%	miss50	-1256545.2272019	126203
PI655981_PI655981	25%	miss50	-1453606.3632172	145859
PI655982_PI655982	25%	miss50	-1161621.1025301	114983
PI655983_PI655983	25%	miss50	-1306852.4270779	129431
PI655984_PI655984	25%	miss50	-1690244.2448618	170691
PI655985_PI655985	25%	miss50	-1506134.2001936	149292
PI655986_PI655986	25%	miss50	-1507035.0666784	148581
PI655987_PI655987	25%	miss50	-1276341.0326523	126141
PI655988_PI655988	25%	miss50	-1332534.9837064	132768
PI655989_PI655989	25%	miss50	-1264207.6670685	128373
PI655990_PI655990	25%	miss50	-1878456.2621683	187753
PI655991_PI655991	25%	miss50	-1439702.8488483	196646
PI655992_PI655992	25%	miss50	-1277000.0284463	165382
PI655993_PI655993	25%	miss50	-1461144.7849842	150875
PI655994_PI655994	25%	miss50	-1405023.0621614	152121
PI655995_PI655995	25%	miss50	-1299661.4172672	130983
PI655996_PI655996	25%	miss50	-1662908.6607213	169389
PI655997_PI655997	25%	miss50	-1782186.1760389	178060
PI655998_PI655998	25%	miss50	-1348695.4585	136267
PI655999_PI655999	25%	miss50	-1107377.6655262	116117
PI656000_PI656000	25%	miss50	-1138046.6577388	111728
PI656001_PI656001	25%	miss50	-1145840.1072193	113976
PI656002_PI656002	25%	miss50	-1283002.0014537	127066
PI656003_PI656003	25%	miss50	-1504234.4835126	149327
PI656004_PI656004	25%	miss50	-1738955.8490246	175329
PI656005_PI656005	25%	miss50	-1371152.9795949	136690
PI656006_PI656006	25%	miss50	-1475126.6246996	148016
PI656007_PI656007	25%	miss50	-1144901.2075748	119471
PI656008_PI656008	25%	miss50	-1462466.7210246	145964
PI656009_PI656009	25%	miss50	-1131879.8866455	115548
PI656010_PI656010	25%	miss50	-1595632.2325395	178178
PI656011_PI656011	25%	miss50	-1501571.0786051	163124
PI656012_PI656012	25%	miss50	-1794788.2677147	183018
PI656013_PI656013	25%	miss50	-1544805.6162548	214816
PI656014_PI656014	25%	miss50	-1339869.5302657	206890
PI656015_PI656015	25%	miss50	-1436489.7387678	142711
PI656016_PI656016	25%	miss50	-1410683.1513557	141275
PI656017_PI656017	25%	miss50	-1856007.2466173	186857
PI656018_PI656018	25%	miss50	-1658218.0124253	164794
PI656019_PI656019	25%	miss50	-1412127.5472442	142045
PI656020_PI656020	25%	miss50	-1403143.2715153	142467
PI656021_PI656021	25%	miss50	-1800231.7064739	198157
PI656022_PI656022	25%	miss50	-1295878.2317148	136590
PI656023_PI656023	25%	miss50	-1292100.8425601	127606
PI656024_PI656024	25%	miss50	-1316314.7747849	141547
PI656025_PI656025	25%	miss50	-1639798.7571667	171236
PI656026_PI656026	25%	miss50	-1275200.8989609	125451
PI656027_PI656027	25%	miss50	-1286385.9667947	132137
PI656028_PI656028	25%	miss50	-1259496.2621251	131358
PI656029_PI656029	25%	miss50	-1246076.0453931	133102
PI656031_PI656031	25%	miss50	-1090263.3878199	113255
PI656032_PI656032	25%	miss50	-1504892.8722242	235510
PI656033_PI656033	25%	miss50	-1850750.0172489	186499
PI656034_PI656034	25%	miss50	-1350092.7318611	222072
PI656035_PI656035	25%	miss50	-1228215.9097185	122899
PI656036_PI656036	25%	miss50	-1517204.879289	163687
PI656037_PI656037	25%	miss50	-1322837.2263773	138822
PI656038_PI656038	25%	miss50	-1288463.6981423	144875
PI656039_PI656039	25%	miss50	-1351731.7237436	138234
PI656040_PI656040	25%	miss50	-1586366.6159403	167494
PI656041_PI656041	25%	miss50	-1856489.3164172	187044
PI656042_PI656042	25%	miss50	-1656158.8833564	171817
PI656043_PI656043	25%	miss50	-1461966.5424442	145695
PI656044_PI656044	25%	miss50	-1276149.0732819	125431
PI656046_PI656046	25%	miss50	-1529337.2210042	159258
PI656047_PI656047	25%	miss50	-1545364.5250552	164948
PI656048_PI656048	25%	miss50	-1120887.6394994	111427
