sample	cutoff	miss	Genetic_load	N_del
PI656005_PI656005	1%	miss50	-80936.5102396	5253
PI656006_PI656006	1%	miss50	-85590.8348524	5614
PI656007_PI656007	1%	miss50	-65091.4171369	4436
PI656008_PI656008	1%	miss50	-84703.1507547	5547
PI656009_PI656009	1%	miss50	-67738.0118241	4508
PI656010_PI656010	1%	miss50	-95788.7739858	7060
PI656011_PI656011	1%	miss50	-91251.1604776	6543
PI656012_PI656012	1%	miss50	-108448.2911401	7246
PI656013_PI656013	1%	miss50	-90820.5026511	8257
PI656014_PI656014	1%	miss50	-77866.9237118	7834
PI656015_PI656015	1%	miss50	-86336.912426	5608
PI656016_PI656016	1%	miss50	-85201.6292487	5535
PI656017_PI656017	1%	miss50	-113781.1413154	7507
PI656018_PI656018	1%	miss50	-100811.620233	6552
PI656019_PI656019	1%	miss50	-84493.7356851	5520
PI656020_PI656020	1%	miss50	-83691.4330651	5579
PI656021_PI656021	1%	miss50	-110958.6327004	8040
PI656022_PI656022	1%	miss50	-75772.1518435	5210
PI656023_PI656023	1%	miss50	-75622.9772895	4866
PI656024_PI656024	1%	miss50	-79539.1069104	5615
PI656025_PI656025	1%	miss50	-97193.9662597	6733
PI656026_PI656026	1%	miss50	-76883.8242029	4933
PI656027_PI656027	1%	miss50	-76250.2603467	5146
PI656028_PI656028	1%	miss50	-74215.0625961	5049
PI656029_PI656029	1%	miss50	-74683.2304356	5214
PI656031_PI656031	1%	miss50	-65585.5562625	4423
PI656032_PI656032	1%	miss50	-88128.0621853	8935
PI656033_PI656033	1%	miss50	-112697.2130934	7450
PI656034_PI656034	1%	miss50	-79252.4841775	8391
PI656035_PI656035	1%	miss50	-72960.8108442	4765
PI656036_PI656036	1%	miss50	-90973.8719152	6424
PI656037_PI656037	1%	miss50	-81056.6463448	5533
PI656038_PI656038	1%	miss50	-74636.5932612	5437
PI656039_PI656039	1%	miss50	-77599.4158844	5197
PI656040_PI656040	1%	miss50	-97162.4385451	6768
PI656041_PI656041	1%	miss50	-113526.4527792	7509
PI656042_PI656042	1%	miss50	-98253.4551764	6684
PI656043_PI656043	1%	miss50	-87758.5976307	5713
PI656044_PI656044	1%	miss50	-76507.9391997	4909
PI656046_PI656046	1%	miss50	-91371.1128917	6290
PI656047_PI656047	1%	miss50	-90018.9053887	6295
PI656048_PI656048	1%	miss50	-63989.531743	4128
PI656049_PI656049	1%	miss50	-73404.5283006	6711
PI656050_PI656050	1%	miss50	-69084.5562134	4927
PI656051_PI656051	1%	miss50	-86967.2913635	5633
PI656052_PI656052	1%	miss50	-94131.3420902	6676
PI656053_PI656053	1%	miss50	-75198.8273962	5087
PI656054_PI656054	1%	miss50	-81780.9420016	5760
PI656055_PI656055	1%	miss50	-98436.4561706001	6830
PI656056_PI656056	1%	miss50	-88936.1647856	5776
PI656057_PI656057	1%	miss50	-85403.0694482	7717
PI656058_PI656058	1%	miss50	-76566.6811476	5355
PI656059_PI656059	1%	miss50	-63843.4384506	4190
PI656060_PI656060	1%	miss50	-75081.4796043	5223
PI656061_PI656061	1%	miss50	-68361.2707957	4606
PI656062_PI656062	1%	miss50	-91580.6186042	6538
PI656063_PI656063	1%	miss50	-66754.9089303	5967
PI656064_PI656064	1%	miss50	-104650.3177963	6894
PI656065_PI656065	1%	miss50	-85809.701492	5573
PI656066_PI656066	1%	miss50	-83967.5927305	5817
PI656067_PI656067	1%	miss50	-90724.8534675	6722
PI656068_PI656068	1%	miss50	-86756.9044138	6081
PI656069_PI656069	1%	miss50	-64186.1801372	4850
PI656070_PI656070	1%	miss50	-69245.058017	4829
PI656071_PI656071	1%	miss50	-75314.6600162	4936
PI656072_PI656072	1%	miss50	-97870.8529834	6458
PI656073_PI656073	1%	miss50	-87741.0222924	5907
PI656074_PI656074	1%	miss50	-69834.4632753	4923
PI656075_PI656075	1%	miss50	-69229.7374237	4626
PI656076_PI656076	1%	miss50	-87424.3411635	6054
PI656077_PI656077	1%	miss50	-75744.603053	5729
PI656078_PI656078	1%	miss50	-23479.9364026	1706
PI656079_PI656079	1%	miss50	-72519.3408345	5095
PI656080_PI656080	1%	miss50	-67808.6578324	4814
PI656081_PI656081	1%	miss50	-19546.8576634	1342
PI656082_PI656082	1%	miss50	-96354.4213144	6405
PI656083_PI656083	1%	miss50	-80298.3624585	9606
PI656085_PI656085	1%	miss50	-68774.2175809	5788
PI656086_PI656086	1%	miss50	-77032.4059884	5128
PI656087_PI656087	1%	miss50	-66502.6698763	4524
PI656088_PI656088	1%	miss50	-90801.9772763	6339
PI656089_PI656089	1%	miss50	-90893.1418202	6383
PI656090_PI656090	1%	miss50	-65836.2506709	4579
PI656091_PI656091	1%	miss50	-92370.7995303	7749
PI656092_PI656092	1%	miss50	-86156.3522608	5657
PI656093_PI656093	1%	miss50	-64272.3665555	4311
PI656094_PI656094	1%	miss50	-64700.5590761	4266
PI656095_PI656095	1%	miss50	-73965.4649651	5044
PI656096_PI656096	1%	miss50	-65723.4246265	4352
PI656097_PI656097	1%	miss50	-82664.6943965	5397
PI656098_PI656098	1%	miss50	-59168.9976685	4213
PI656099_PI656099	1%	miss50	-87440.2627343	6213
PI656100_PI656100	1%	miss50	-98385.0977249	6892
PI656101_PI656101	1%	miss50	-86610.5723429	5646
PI656102_PI656102	1%	miss50	-58673.5409573	3820
PI656103_PI656103	1%	miss50	-80565.2024766	5583
PI656104_PI656104	1%	miss50	-88479.7363767	9700
PI656105_PI656105	1%	miss50	-66025.265473	4627
PI656106_PI656106	1%	miss50	-63849.7474205	4569
PI656107_PI656107	1%	miss50	-85427.0234003	7360
PI656108_PI656108	1%	miss50	-71615.7765306	4742
PI656109_PI656109	1%	miss50	-81747.1340331	5947
PI656110_PI656110	1%	miss50	-77919.4557116	6162
PI656111_PI656111	1%	miss50	-64348.9872959	4182
PI656112_PI656112	1%	miss50	-75047.1737982	5172
PI656113_PI656113	1%	miss50	-83733.0159451	5924
PI656114_PI656114	1%	miss50	-73778.0364291	6198
PI656115_PI656115	1%	miss50	-100126.2984135	6777
PI656116_PI656116	1%	miss50	-69004.2051923	5735
PI656118_PI656118	1%	miss50	-66031.7210711	4579
PI656119_PI656119	1%	miss50	-71951.6613984	5740
PI656120_PI656120	1%	miss50	-84335.6047224	5794
PI656121_PI656121	1%	miss50	-70829.327735	5012
PI659691_PI659691	1%	miss50	-75394.4673219	6865
PI659694_PI659694	1%	miss50	-96571.9452946	6727
PI659695_PI659695	1%	miss50	-79179.4926549	5559
PI659696_PI659696	1%	miss50	-78653.9125447	5309
PI659753_PI659753	1%	miss50	-94562.0839625	6995
