sample	group	Abs_genetic_load	canon
[448]cheng435:GT	improved	147702.668127	CHENG435
[449]cheng698-3:GT	improved	254358.645947	CHENG698-3
[450]chengzi108:GT	improved	306678.386665	CHENGZI108
[451]chengzi2142:GT	improved	314107.750438	CHENGZI2142
[452]chi545:GT	improved	310712.948785	CHI545
[453]chihuang14:GT	improved	214960.041936	CHIHUANG14
[454]chihuang32:GT	improved	305421.782612	CHIHUANG32
[455]chong72:GT	improved	289074.229931	CHONG72
[456]CM105:GT	improved	252801.471347	CM105
[457]CML103:GT	improved	304811.471344	CML103
[458]CML103-run248:GT	improved	304668.559335	CML103-RUN248
[459]CML125-2pianma:GT	improved	296348.145054	CML125-2PIANMA
[460]CML133:GT	improved	305813.38827	CML133
[461]CML192:GT	improved	308601.956666	CML192
[462]CML202:GT	improved	312483.125886	CML202
[463]CML206:GT	improved	313308.000563	CML206
[464]CML228:GT	improved	313094.356008	CML228
[465]CML247:GT	improved	311278.616666	CML247
[466]CML277:GT	improved	306952.713234	CML277
[467]CML312SR:GT	improved	316210.066005	CML312SR
[468]CML322:GT	improved	309098.391469	CML322
[469]CML330:GT	improved	311277.928149	CML330
[470]CML333:GT	improved	305350.243611	CML333
[471]CML341:GT	improved	309316.232554	CML341
[472]CML411:GT	improved	311863.103599	CML411
[473]CML418:GT	improved	307452.607334	CML418
[474]CML479:GT	improved	307704.440048	CML479
[475]CML504:GT	improved	311600.8861	CML504
[476]CML505:GT	improved	303645.510843	CML505
[477]CML511:GT	improved	312099.719158	CML511
[478]CML52:GT	improved	306041.343192	CML52
[479]CML58:GT	improved	334517.435462	CML58
[480]CML69:GT	improved	308804.312422	CML69
[481]CML84:GT	improved	304519.361218	CML84
[482]CML85:GT	improved	311367.408848	CML85
[483]CML96:GT	improved	296534.4423	CML96
[484]CML99:GT	improved	290402.883589	CML99
[485]CN104:GT	improved	283940.057187	CN104
[486]CN165:GT	improved	268060.295203	CN165
[487]Co109:GT	improved	300114.895388	CO109
[488]CR14:GT	improved	148592.144382	CR14
[489]CR1HT:GT	improved	308327.937065	CR1HT
[490]CT109:GT	improved	325405.492766	CT109
[491]CT52C:GT	improved	316978.95034	CT52C
[492]Cwu215B:GT	improved	301765.459909	CWU215B
[493]D1049:GT	improved	277938.23612	D1049
[494]D1051:GT	improved	322123.078376	D1051
[495]D1139:GT	improved	274275.247593	D1139
[496]d140:GT	improved	274838.178419	D140
[497]D15:GT	improved	203639.880765	D15
[498]D20:GT	improved	319497.980485	D20
[499]D23:GT	improved	297793.685529	D23
[500]D33A:GT	improved	306329.451881	D33A
[501]D340:GT	improved	247766.878791	D340
[502]D619:GT	improved	342689.916973	D619
[503]D729:GT	improved	314744.97871	D729
[504]D801:GT	improved	231840.381097	D801
[505]D854:GT	improved	286185.965876	D854
[506]D856:GT	improved	331898.372359	D856
[507]D857:GT	improved	284936.037182	D857
[508]D864:GT	improved	309041.1623	D864
[509]D869:GT	improved	271997.672457	D869
[510]D88:GT	improved	310357.159376	D88
[511]D881:GT	improved	217965.627583	D881
[512]D883:GT	improved	318810.002815	D883
[513]D886:GT	improved	311091.748865	D886
[514]D892:GT	improved	300765.443625	D892
[515]D978:GT	improved	283353.617025	D978
[516]da255:GT	improved	306982.414236	DA255
[517]dai6:GT	improved	299179.455021	DAI6
[518]daMO:GT	improved	320183.518609	DAMO
[519]dan3115:GT	improved	305659.383635	DAN3115
[520]dan340:GT	improved	296053.156641	DAN340
[521]dan598:GT	improved	311710.192579	DAN598
[522]dan599:GT	improved	323185.909813	DAN599
[523]dan9046:GT	improved	312583.643829	DAN9046
[524]dan9064:GT	improved	284885.869411	DAN9064
[525]danhuang02:GT	improved	316582.19871	DANHUANG02
[526]daqing133:GT	improved	301957.818621	DAQING133
[527]De811:GT	improved	264227.041648	DE811
[528]DF20:GT	improved	77113.009688	DF20
[529]DF24:GT	improved	55378.53634	DF24
[530]DF27:GT	improved	305778.565257	DF27
[531]DF32:GT	improved	317210.65723	DF32
[532]DH138:GT	improved	329346.497028	DH138
[533]DH149:GT	improved	304719.350431	DH149
[534]DH40:GT	improved	302426.347743	DH40
[535]DH65232:GT	improved	308426.781413	DH65232
[536]DH65232-DH9:GT	improved	335067.446671	DH65232-DH9
[537]DJ7:GT	improved	7068.779879	DJ7
[538]DM07:GT	improved	269324.580848	DM07
[539]DM101B:GT	improved	249699.665703	DM101B
[540]dong327:GT	improved	301239.094513	DONG327
[541]dupl-178:GT	improved	322400.445729	DUPL-178
