group	canonical_line	Abs_genetic_load	n_alias_rows	alias_samples
improved	TZI16	287874.615589	1	[274]282set_Tzi16:GT
improved	TZI18	306112.745085	1	[275]282set_Tzi18:GT
improved	TZI25	255286.626924	1	[276]282set_Tzi25:GT
improved	TZI8	303172.2453005	2	[277]282set_Tzi8:GT | [965]Tzi8:GT
improved	TZI9	308041.956093	1	[278]282set_Tzi9:GT
improved	U267Y	301514.820603	1	[279]282set_U267Y:GT
improved	VA102	304073.808174	1	[280]282set_VA102:GT
improved	VA14	300544.023261	1	[281]282set_Va14:GT
improved	VA17	300532.614513	1	[282]282set_Va17:GT
improved	VA22	309257.179358	1	[283]282set_Va22:GT
improved	VA26	301736.817047	2	[284]282set_Va26:GT | [966]Va26:GT
improved	VA35	310408.1125905	2	[285]282set_Va35:GT | [967]Va35:GT
improved	VA59	314683.498446	1	[286]282set_Va59:GT
improved	VA85	301907.397871	1	[287]282set_Va85:GT
improved	VA99	292416.693514	1	[288]282set_Va99:GT
improved	VAW6	301360.93098	1	[289]282set_VaW6:GT
improved	W117HT	301643.161588	1	[290]282set_W117Ht:GT
improved	W153R	316751.6208255	2	[291]282set_W153R:GT | [976]W153R:GT
improved	W182B	297680.322181	1	[292]282set_W182B:GT
improved	WF9	294000.899754	1	[293]282set_Wf9:GT
improved	YU796	300198.148298	1	[294]282set_Yu796:GT
improved	29MIBZ2	302270.409774	1	[295]29MIBZ2:GT
improved	2FACC	147680.576645	1	[296]2FACC:GT
improved	2MA22	269111.922195	1	[297]2MA22:GT
improved	3189	246559.973387	1	[298]3189:GT
improved	32	169137.177098	1	[299]32:GT
improved	3335	249699.00017	1	[300]3335:GT
improved	3489A	278859.29507	1	[301]3489a:GT
improved	3514	295727.624526	1	[302]3514:GT
improved	3H2	315601.595302	1	[303]3H2:GT
improved	3IBZ2	294023.623696	1	[304]3IBZ2:GT
improved	4003	320704.507467	1	[305]4003:GT
improved	411	313518.789361	1	[306]411:GT
improved	433-7	282039.179184	1	[307]433-7:GT
improved	441950	282350.754902	1	[308]441950:GT
improved	444	319354.429422	1	[309]444:GT
improved	4676A	259617.447395	1	[310]4676A:GT
improved	468-3	182954.77453	1	[311]468-3:GT
improved	4936	313261.027825	1	[313]4936:GT
improved	4F1	331543.377254	1	[314]4F1:GT
improved	4N506	107847.067255	1	[315]4N506:GT
improved	5023	314026.359366	1	[316]5023:GT
improved	5032	314778.386671	1	[317]5032:GT
improved	5707	313466.480378	1	[318]5707:GT
improved	6	271084.532543	1	[319]6:GT
improved	6103	231790.548301	1	[320]6103:GT
improved	619	337099.130439	1	[321]619:GT
improved	624	232447.876359	1	[322]624:GT
improved	680	265611.698296	1	[323]680:GT
improved	68122	326586.840138	1	[324]68122:GT
improved	68139	311217.692938	1	[325]68139:GT
improved	68202	243325.254108	1	[326]68202:GT
improved	697	183777.421956	1	[327]697:GT
improved	698-3	260742.279908	1	[328]698-3:GT
improved	6M502	305560.07373	1	[329]6M502:GT
improved	7026B	293431.309612	1	[330]7026B:GT
improved	707	307855.029926	1	[331]707:GT
improved	7146	314075.868601	1	[332]7146:GT
improved	72-125	348456.456706	1	[333]72-125:GT
improved	7236	289192.058262	1	[334]7236:GT
improved	7327	307056.510178	1	[335]7327:GT
improved	740	313509.915077	1	[336]740:GT
improved	743	87843.156234	1	[337]743:GT
improved	75-14GAO	324141.825436	1	[338]75-14gao:GT
improved	75-24	312119.147479	1	[339]75-24:GT
improved	75-364	323141.524496	1	[340]75-364:GT
improved	757	252280.857813	1	[341]757:GT
improved	764	115074.766397	1	[342]764:GT
improved	77	316772.881278	1	[343]77:GT
improved	779	290961.870622	1	[344]779:GT
improved	78002A	100593.412892	1	[345]78002A:GT
improved	78004	121283.391069	1	[346]78004:GT
improved	78010	127490.541871	1	[347]78010:GT
improved	78371A	317222.420364	1	[348]78371A:GT
improved	785	221449.338101	1	[349]785:GT
improved	78551S	314211.209893	1	[350]78551S:GT
improved	78599	331547.735232	1	[351]78599:GT
improved	787	295992.170161	1	[352]787:GT
improved	7884	291505.706163	1	[353]7884:GT
improved	790	108959.147737	1	[354]790:GT
improved	79028	295171.260507	1	[355]79028:GT
improved	7903E	216925.306054	1	[356]7903E:GT
improved	79131	280200.183752	1	[357]79131:GT
improved	792	131556.107928	1	[358]792:GT
improved	794	71667.55464	1	[359]794:GT
improved	795	134310.390367	1	[360]795:GT
improved	802	314102.103835	1	[361]802:GT
improved	806A	245490.262806	1	[362]806A:GT
improved	807	278466.898198	1	[363]807:GT
improved	807D	283476.864771	1	[364]807D:GT
improved	811A	282786.879314	1	[365]811A:GT
improved	82HUANGZAO4	211117.718831	1	[366]82huangzao4:GT
improved	832	161765.223355	1	[367]832:GT
improved	83IBI3	299480.493528	1	[368]83IBI3:GT
improved	84-126-15-1	311050.156548	1	[369]84-126-15-1:GT
improved	85BAI64	311808.020716	1	[370]85bai64:GT
improved	87001	316255.433126	1	[371]87001:GT
improved	8701	308805.55719	1	[372]8701:GT
improved	87916W	118632.582361	1	[373]87916W:GT
improved	897	322802.054212	1	[374]897:GT
improved	8982	317345.906468	1	[375]8982:GT
improved	9058	326514.855826	1	[376]9058:GT
improved	9101-7	224825.268496	1	[377]9101-7:GT
improved	91HUANG10	301439.224764	1	[378]91huang10:GT
improved	91HUANG15	311702.353796	1	[379]91huang15:GT
improved	91HUANG5	297764.248027	1	[380]91huang5:GT
improved	926	336538.979999	1	[381]926:GT
improved	928	335571.291389	1	[382]928:GT
improved	92HUANG40	311893.3268	1	[383]92huang40:GT
improved	953	256143.910517	1	[384]953:GT
improved	96201	306840.7807	1	[385]96201:GT
improved	9702	297848.729515	1	[386]9702:GT
improved	9706	310097.141995	1	[387]9706:GT
improved	9710	249570.030392	1	[388]9710:GT
improved	98F1	103272.880011	1	[389]98F1:GT
improved	99122	289344.230567	1	[390]99122:GT
improved	A272	314915.704227	1	[391]A272:GT
improved	A801	252294.634117	1	[396]A801:GT
improved	AY3566	236255.977686	1	[397]Ay3566:GT
improved	AY420	281496.838532	1	[398]Ay420:GT
improved	B09	236856.355838	1	[399]B09:GT
improved	B100	300943.615341	1	[400]B100:GT
improved	B102	305666.372941	1	[401]B102:GT
improved	B12	314715.185262	1	[402]B12:GT
improved	B14	206664.58182	1	[403]B14:GT
improved	B394	308373.14876	1	[405]B394:GT
improved	B4	294991.025784	1	[406]B4:GT
improved	B47	263220.276666	1	[407]B47:GT
improved	B7	280971.879127	1	[409]B7:GT
improved	B8	307352.432969	1	[412]B8:GT
improved	B95	296573.845238	1	[413]B95:GT
improved	B97	297440.407751	1	[414]B97:GT
improved	B98	291215.705549	1	[415]B98:GT
improved	BAI197	339292.687727	1	[416]bai197:GT
improved	BAIHE43	310849.07788	1	[417]baihe43:GT
improved	BAIU8112	284840.838121	1	[418]baiU8112:GT
improved	BAO3040	279672.285412	1	[419]bao3040:GT
improved	BC4B	208450.834395	1	[420]BC4B:GT
improved	BCC03	306355.988302	1	[421]BCC03:GT
improved	BECK	180277.33848	1	[422]Beck:GT
improved	BEN7884	292267.092802	1	[423]ben7884:GT
