sample	group	cutoff_lab	Genetic_load_sum	n_chr_rows	Abs_genetic_load
[549]E588:GT	improved	5%	-316188.513709	10	316188.513709
[550]E600:GT	improved	5%	-315259.959325	10	315259.959325
[551]E601:GT	improved	5%	-255651.621375	10	255651.621375
[552]E8501:GT	improved	5%	-305962.094215	10	305962.094215
[553]equn3:GT	improved	5%	-296224.610134	10	296224.610134
[554]equn4:GT	improved	5%	-304496.497846	10	304496.497846
[555]ernan24:GT	improved	5%	-302604.356275	10	302604.356275
[556]ES40:GT	improved	5%	-321042.944941	10	321042.944941
[557]F42:GT	improved	5%	-8886.571981	10	8886.571981
[558]F7:GT	improved	5%	-322801.996584	10	322801.996584
[559]F7584:GT	improved	5%	-305940.757133	10	305940.757133
[560]F939:GT	improved	5%	-314478.246615	10	314478.246615
[561]fangyin:GT	improved	5%	-308416.574938	10	308416.574938
[562]fanrong2:GT	improved	5%	-303156.571345	10	303156.571345
[563]FAP1360A:GT	improved	5%	-289931.997915	10	289931.997915
[564]FAPW:GT	improved	5%	-228379.934505	10	228379.934505
[565]FBHJ:GT	improved	5%	-238416.009577	10	238416.009577
[566]FC-13:GT	improved	5%	-299604.024426	10	299604.024426
[567]Feb-48:GT	improved	5%	-313235.166193	10	313235.166193
[568]fengke1:GT	improved	5%	-316202.417588	10	316202.417588
[569]FR14:GT	improved	5%	-269643.722619	10	269643.722619
[570]fu8521:GT	improved	5%	-291007.063958	10	291007.063958
[571]fu8527:GT	improved	5%	-299722.943345	10	299722.943345
[572]fu8529:GT	improved	5%	-301927.205923	10	301927.205923
[573]fu8538:GT	improved	5%	-302395.858263	10	302395.858263
[574]fu8701:GT	improved	5%	-262323.184094	10	262323.184094
[575]fu96:GT	improved	5%	-296941.730713	10	296941.730713
[576]fusheA:GT	improved	5%	-300620.021913	10	300620.021913
[577]gan41:GT	improved	5%	-314347.785159	10	314347.785159
[578]german_B73:GT	improved	5%	-11738.419209	10	11738.419209
[579]german_CH10:GT	improved	5%	-318542.393516	10	318542.393516
[580]german_D06:GT	improved	5%	-283560.410237	10	283560.410237
[581]german_D09:GT	improved	5%	-288181.004555	10	288181.004555
[582]german_D152:GT	improved	5%	-311462.689757	10	311462.689757
[583]german_DK105:GT	improved	5%	-319571.349008	10	319571.349008
[584]german_EC169:GT	improved	5%	-204366.91933	10	204366.91933
[585]german_EC49A:GT	improved	5%	-301905.17665	10	301905.17665
[586]german_EP1:GT	improved	5%	-315216.042144	10	315216.042144
[587]german_EP44:GT	improved	5%	-310348.555789	10	310348.555789
[588]german_EZ5:GT	improved	5%	-309802.978224	10	309802.978224
[589]german_F03802:GT	improved	5%	-307979.927447	10	307979.927447
[590]german_F2:GT	improved	5%	-315461.148436	10	315461.148436
[591]german_F252:GT	improved	5%	-295250.359029	10	295250.359029
[592]german_F283:GT	improved	5%	-310994.946701	10	310994.946701
[593]german_F353:GT	improved	5%	-293110.034434	10	293110.034434
[594]german_F618:GT	improved	5%	-266908.965269	10	266908.965269
[595]german_F64:GT	improved	5%	-309046.73844	10	309046.73844
[596]german_F7:GT	improved	5%	-319988.646871	10	319988.646871
[597]german_F98902:GT	improved	5%	-186917.942756	10	186917.942756
[598]german_FF0721H-7:GT	improved	5%	-318638.757779	10	318638.757779
[599]german_Lo11:GT	improved	5%	-312378.146357	10	312378.146357
[600]german_Mo17:GT	improved	5%	-316085.869033	10	316085.869033
[601]german_PH207:GT	improved	5%	-296348.645881	10	296348.645881
[602]german_UH006:GT	improved	5%	-320182.294932	10	320182.294932
[603]german_UH007:GT	improved	5%	-317420.034097	10	317420.034097
[604]german_UH009:GT	improved	5%	-319062.673341	10	319062.673341
[605]german_UH250:GT	improved	5%	-275480.20639	10	275480.20639
[606]german_UH304:GT	improved	5%	-290230.334235	10	290230.334235
[607]german_W117:GT	improved	5%	-300366.736566	10	300366.736566
[608]GN4095:GT	improved	5%	-310014.912565	10	310014.912565
[609]guan17-1:GT	improved	5%	-315495.899756	10	315495.899756
[610]guangyou5:GT	improved	5%	-315128.336117	10	315128.336117
[611]GY3:GT	improved	5%	-218382.019956	10	218382.019956
[612]H105W:GT	improved	5%	-260031.277009	10	260031.277009
[613]H114:GT	improved	5%	-255440.042542	10	255440.042542
[614]H127:GT	improved	5%	-307034.454177	10	307034.454177
[615]H16:GT	improved	5%	-310525.263416	10	310525.263416
[616]H2:GT	improved	5%	-283076.944026	10	283076.944026
[617]H21:GT	improved	5%	-329579.677874	10	329579.677874
[618]H66-6:GT	improved	5%	-256467.596997	10	256467.596997
[619]H84:GT	improved	5%	-262449.399263	10	262449.399263
[620]H8431:GT	improved	5%	-218016.66828	10	218016.66828
[621]H99:GT	improved	5%	-314121.885041	10	314121.885041
[622]hai014:GT	improved	5%	-312415.408641	10	312415.408641
[623]hai1134:GT	improved	5%	-317008.662743	10	317008.662743
[624]hai9-21:GT	improved	5%	-293835.20005	10	293835.20005
[625]han21:GT	improved	5%	-268866.501408	10	268866.501408
[626]han49:GT	improved	5%	-323608.591943	10	323608.591943
[627]HB8229:GT	improved	5%	-273175.494064	10	273175.494064
[628]HBAI:GT	improved	5%	-291859.526136	10	291859.526136
[629]HD568:GT	improved	5%	-240818.294687	10	240818.294687
[630]Hda-5:GT	improved	5%	-271615.286747	10	271615.286747
[631]he344:GT	improved	5%	-306965.097268	10	306965.097268
[632]HHe01:GT	improved	5%	-304953.171986	10	304953.171986
[633]HP301:GT	improved	5%	-300790.8	10	300790.8
[634]hu803:GT	improved	5%	-216096.357272	10	216096.357272
[635]hua160:GT	improved	5%	-299659.455258	10	299659.455258
[636]huangC:GT	improved	5%	-300593.282736	10	300593.282736
[637]huangchanga:GT	improved	5%	-332101.306446	10	332101.306446
[638]huangchangb:GT	improved	5%	-335639.141907	10	335639.141907
[639]huangyesi:GT	improved	5%	-344796.512584	10	344796.512584
[640]huangyesi3:GT	improved	5%	-342923.055879	10	342923.055879
[641]huangzaosi:GT	improved	5%	-347443.743828	10	347443.743828
[642]huo17:GT	improved	5%	-320223.328405	10	320223.328405
[643]huobai:GT	improved	5%	-316582.956959	10	316582.956959
[644]huotanghuang:GT	improved	5%	-320619.245655	10	320619.245655
[645]huotanghuang17:GT	improved	5%	-301018.557977	10	301018.557977
[646]IA5125:GT	improved	5%	-305263.751956	10	305263.751956
[647]IB014:GT	improved	5%	-301497.230116	10	301497.230116
[648]IB02:GT	improved	5%	-298305.025854	10	298305.025854
[649]IBB14:GT	improved	5%	-267034.799664	10	267034.799664
[650]IBB15:GT	improved	5%	-293396.579439	10	293396.579439
[651]IBC2:GT	improved	5%	-299599.247268	10	299599.247268
[652]Il14H:GT	improved	5%	-314238.915272	10	314238.915272
[653]J8606:GT	improved	5%	-314274.04654	10	314274.04654
[654]ji4112:GT	improved	5%	-337975.838779	10	337975.838779
[655]ji432:GT	improved	5%	-314005.877048	10	314005.877048
[656]ji434:GT	improved	5%	-293106.263328	10	293106.263328
[657]ji444:GT	improved	5%	-338071.703256	10	338071.703256
[658]ji53:GT	improved	5%	-314629.568645	10	314629.568645
[659]ji533:GT	improved	5%	-320697.889941	10	320697.889941
[660]ji63:GT	improved	5%	-294618.90539	10	294618.90539
[661]ji833:GT	improved	5%	-296230.496764	10	296230.496764
[662]ji846:GT	improved	5%	-308709.166044	10	308709.166044
[663]ji853:GT	improved	5%	-320102.986089	10	320102.986089
[664]ji870:GT	improved	5%	-224716.830734	10	224716.830734
[665]jian1495a:GT	improved	5%	-299002.053375	10	299002.053375
[666]jian1495b:GT	improved	5%	-296084.290501	10	296084.290501
[667]jiao05:GT	improved	5%	-291303.055236	10	291303.055236
[668]jiao3:GT	improved	5%	-313624.976009	10	313624.976009
[669]jiao51:GT	improved	5%	-330237.868148	10	330237.868148
[670]jingnuo2:GT	improved	5%	-320483.224509	10	320483.224509
[671]jinsui54:GT	improved	5%	-326743.386151	10	326743.386151
[672]jiu138-5:GT	improved	5%	-307770.191915	10	307770.191915
[673]jiu22:GT	improved	5%	-303666.034349	10	303666.034349
[674]jiutai1:GT	improved	5%	-264059.321191	10	264059.321191
[675]K10:GT	improved	5%	-299553.81729	10	299553.81729
[676]K12:GT	improved	5%	-324591.056931	10	324591.056931
[677]K14:GT	improved	5%	-308547.073586	10	308547.073586
[678]K22:GT	improved	5%	-295654.454306	10	295654.454306
[679]K514:GT	improved	5%	-322823.650466	10	322823.650466
[680]Ki11:GT	improved	5%	-315253.666	10	315253.666
[681]Ki21:GT	improved	5%	-314416.079807	10	314416.079807
