sample	group	cutoff_lab	Genetic_load_sum	n_chr_rows	Abs_genetic_load
[247]282set_Oh603:GT	improved	5%	-301333.765227	10	301333.765227
[248]282set_OH7B:GT	improved	5%	-295292.961332	10	295292.961332
[249]282set_Os420:GT	improved	5%	-285014.487612	10	285014.487612
[250]282set_P39Goodman-Buckler:GT	improved	5%	-322083.268151	10	322083.268151
[251]282set_Pa762:GT	improved	5%	-315156.347544	10	315156.347544
[252]282set_Pa875:GT	improved	5%	-293262.0978	10	293262.0978
[253]282set_Pa880:GT	improved	5%	-291464.694348	10	291464.694348
[254]282set_Pa91:GT	improved	5%	-307837.584877	10	307837.584877
[255]282set_R168:GT	improved	5%	-289725.203911	10	289725.203911
[256]282set_R177:GT	improved	5%	-308851.18637	10	308851.18637
[257]282set_R229:GT	improved	5%	-41447.692346	10	41447.692346
[258]282set_R4:GT	improved	5%	-281111.776096	10	281111.776096
[259]282set_SA24:GT	improved	5%	-303791.64827	10	303791.64827
[260]282set_SC213R:GT	improved	5%	-306721.156163	10	306721.156163
[261]282set_SC357:GT	improved	5%	-300677.033388	10	300677.033388
[262]282set_SC55:GT	improved	5%	-302083.916311	10	302083.916311
[263]282set_SD40:GT	improved	5%	-279236.117456	10	279236.117456
[264]282set_SD44:GT	improved	5%	-286640.427986	10	286640.427986
[265]282set_Sg1533:GT	improved	5%	-303600.405611	10	303600.405611
[266]282set_Sg18:GT	improved	5%	-301172.833251	10	301172.833251
[267]282set_T232:GT	improved	5%	-294034.41469	10	294034.41469
[268]282set_T234:GT	improved	5%	-298029.735769	10	298029.735769
[269]282set_T8:GT	improved	5%	-303390.405844	10	303390.405844
[270]282set_Tx303:GT	improved	5%	-299445.265527	10	299445.265527
[271]282set_Tx601:GT	improved	5%	-304807.012113	10	304807.012113
[272]282set_Tzi10:GT	improved	5%	-307183.798032	10	307183.798032
[273]282set_Tzi11:GT	improved	5%	-295683.035717	10	295683.035717
[274]282set_Tzi16:GT	improved	5%	-287874.615589	10	287874.615589
[275]282set_Tzi18:GT	improved	5%	-306112.745085	10	306112.745085
[276]282set_Tzi25:GT	improved	5%	-255286.626924	10	255286.626924
[277]282set_Tzi8:GT	improved	5%	-300439.678989	10	300439.678989
