sample	group	N_del_sum	n_chr_rows
[518]daMO:GT	improved	81708	10
[519]dan3115:GT	improved	78168	10
[520]dan340:GT	improved	75723	10
[521]dan598:GT	improved	79784	10
[522]dan599:GT	improved	82486	10
[523]dan9046:GT	improved	79883	10
[524]dan9064:GT	improved	72748	10
[525]danhuang02:GT	improved	80847	10
[526]daqing133:GT	improved	77439	10
[527]De811:GT	improved	67685	10
[528]DF20:GT	improved	19860	10
[529]DF24:GT	improved	14112	10
[530]DF27:GT	improved	78012	10
[531]DF32:GT	improved	80950	10
[532]DH138:GT	improved	84043	10
[533]DH149:GT	improved	77876	10
[534]DH40:GT	improved	77408	10
[535]DH65232:GT	improved	78978	10
[536]DH65232-DH9:GT	improved	85779	10
[537]DJ7:GT	improved	1803	10
[538]DM07:GT	improved	69019	10
[539]DM101B:GT	improved	63894	10
[540]dong327:GT	improved	77084	10
[541]dupl-178:GT	improved	82338	10
[542]dupl-478:GT	improved	61819	10
[543]dupl-5003:GT	improved	79703	10
[544]dupl-Zheng58:GT	improved	71366	10
[545]duzi:GT	improved	82596	10
[546]E200:GT	improved	83900	10
[547]e220:GT	improved	65249	10
[548]E28:GT	improved	72934	10
[549]E588:GT	improved	80810	10
[550]E600:GT	improved	80582	10
[551]E601:GT	improved	65323	10
[552]E8501:GT	improved	78232	10
[553]equn3:GT	improved	75737	10
[554]equn4:GT	improved	77766	10
[555]ernan24:GT	improved	77607	10
[556]ES40:GT	improved	82122	10
[557]F42:GT	improved	2302	10
[558]F7:GT	improved	82934	10
[559]F7584:GT	improved	78043	10
[560]F939:GT	improved	80528	10
[561]fangyin:GT	improved	78608	10
[562]fanrong2:GT	improved	77681	10
[563]FAP1360A:GT	improved	74427	10
[564]FAPW:GT	improved	58365	10
[565]FBHJ:GT	improved	61200	10
[566]FC-13:GT	improved	76414	10
[567]Feb-48:GT	improved	80185	10
[568]fengke1:GT	improved	81112	10
[569]FR14:GT	improved	69040	10
[570]fu8521:GT	improved	74370	10
[571]fu8527:GT	improved	76740	10
[572]fu8529:GT	improved	77306	10
[573]fu8538:GT	improved	77293	10
[574]fu8701:GT	improved	67029	10
[575]fu96:GT	improved	75937	10
[576]fusheA:GT	improved	77234	10
[577]gan41:GT	improved	80429	10
[578]german_B73:GT	improved	3003	10
[579]german_CH10:GT	improved	81738	10
