Pedigree,Treatment,Bench,Row,Column,Whole_Fresh_1,Whole_Fresh_2,Whole_Fresh_3,Pot_id
PI 655991,LN,1,7,1,1.2,0.9,0.6,1004
PI 533915,LN,1,10,2,1.2,1.5,0.6,1011
PI 642998,LN,1,5,9,1.2,0.9,0.7,1086
PI 656103,LN,1,6,10,1.2,0.9,0.9,1095
PI 597945,LN,1,9,11,1.2,0.9,0.7,1102
PI 533937,LN,1,3,11,1.2,1.1,0.8,1108
PI 534155,LN,1,7,16,1.2,0.7,NA,1154
PI 655979,LN,1,10,18,1.2,NA,NA,1171
PI 533985,LN,1,15,1,1.2,0.9,1.4,1186
PI 656105,LN,1,12,1,1.2,1,1.8,1189
PI 534148,LN,1,18,7,1.2,1.3,0.9,1243
PI 533833,LN,1,15,10,1.2,1.1,0.4,1276
PI 576396,LN,1,18,11,1.2,1.3,1.3,1283
PI 533869,LN,1,14,12,1.2,1.4,1,1297
PI 534167,LN,1,18,13,1.2,1,0.8,1303
PI 533948,LN,1,17,14,1.2,0.7,1.1,1314
PI 656097,LN,1,17,16,1.2,1.3,1.1,1334
PI 533940,LN,1,20,17,1.2,0.6,0.4,1341
PI 656082,LN,1,19,17,1.2,0.9,0.5,1342
PI 534063,LN,1,18,17,1.2,0.8,1.4,1343
PI 152651,LN,1,13,17,1.2,1.2,1.6,1348
PI 576381,LN,1,12,17,1.2,1.2,1.2,1349
PI 656060,LN,1,13,18,1.2,0.6,0.8,1358
PI 659694,LN,1,11,18,1.2,NA,NA,1360
PI 656006,LN,1,3,1,1.3,0.3,NA,1008
PI 659693,LN,1,3,3,1.3,0.9,0.8,1028
PI 533831,LN,1,10,5,1.3,0.9,0.8,1041
PI 641874,LN,1,4,5,1.3,1.1,0.9,1047
PI 533964,LN,1,1,5,1.3,2.5,0.7,1050
PI 533972,LN,1,7,6,1.3,1.2,0.8,1054
PI 533752,LN,1,6,8,1.3,0.8,1,1075
PI 656043,LN,1,1,8,1.3,1.2,1.1,1080
PI 542718,LN,1,8,9,1.3,0.7,0.7,1083
PI 533954,LN,1,2,10,1.3,0.4,0.9,1099
PI 656055,LN,1,5,13,1.3,1,0.5,1126
PI 576385,LN,1,5,16,1.3,0.5,0.6,1156
PI 533987,LN,1,20,2,1.3,1.4,0.9,1191
PI 534137,LN,1,14,3,1.3,0.8,0.9,1207
PI 656118,LN,1,18,5,1.3,1,1.3,1223
PI 534123,LN,1,16,6,1.3,0.9,NA,1235
PI 656056,LN,1,13,6,1.3,0.6,1,1238
PI 533961,LN,1,19,12,1.3,1.8,0.4,1292
PI 656008,LN,1,20,13,1.3,NA,NA,1301
PI 656070,LN,1,18,14,1.3,1.2,0.6,1313
PI 534028,LN,1,14,17,1.3,1,0.8,1347
PI 564163,LN,1,12,18,1.3,0.9,NA,1359
PI 656108,HN,2,30,10,1.3,4.9,2.8,2091
PI 534079,LN,1,8,1,1.4,1.4,0.8,1003
PI 656112,LN,1,8,2,1.4,0.7,1,1013
PI 533759,LN,1,4,2,1.4,1.4,1,1017
PI 656076,LN,1,7,3,1.4,1.1,NA,1024
PI 656075,LN,1,6,4,1.4,1,0.4,1035
PI 656095,LN,1,10,6,1.4,0.5,1.4,1051
PI 655971,LN,1,2,6,1.4,1.3,1,1059
PI 656069,LN,1,1,7,1.4,0.8,0.3,1070
PI 607931,LN,1,8,16,1.4,1,1.1,1153
PI 534104,LN,1,19,2,1.4,2.6,NA,1192
PI 533903,LN,1,14,4,1.4,1.3,0.9,1217
PI 595744,LN,1,19,5,1.4,1.2,1.7,1222
PI 655985,LN,1,19,7,1.4,1,1,1242
PI 24969,LN,1,18,12,1.4,1.7,1.2,1293
PI 534116,LN,1,20,14,1.4,1.8,0.6,1311
PI 656079,LN,1,19,15,1.4,1.1,0.8,1322
PI 656037,LN,1,14,16,1.4,1.1,0.6,1337
PI 656031,HN,2,26,3,1.4,3.7,1.7,2025
PI 656004,HN,2,24,13,1.4,4.3,NA,2127
PI 533807,LN,1,9,3,1.5,1.2,0.5,1022
PI 534157,LN,1,6,5,1.5,0.9,NA,1045
PI 533970,LN,1,5,14,1.5,1.2,NA,1136
PI 576394,LN,1,4,14,1.5,0.3,0.9,1137
PI 17548,LN,1,13,1,1.5,1.4,2.1,1188
PI 656061,LN,1,15,3,1.5,0.8,0.8,1206
PI 656102,LN,1,4,15,1.51,0.64,0.41,1147
PI 656068,LN,1,3,18,1.6,0.6,0.8,1178
PI 656023,LN,1,15,4,1.6,0.9,1.4,1216
PI 533792,LN,1,14,6,1.6,0.7,0.6,1237
PI 561073,LN,1,15,11,1.6,NA,NA,1286
PI 533845,LN,1,14,11,1.6,0.9,1.4,1287
PI 576332,LN,1,19,14,1.6,0.9,1.4,1312
PI 534128,LN,1,15,16,1.6,1,1.3,1336
PI 533991,LN,1,17,17,1.6,0.8,1.1,1344
PI 656120,LN,1,6,2,1.7,1.5,1.4,1015
PI 533762,LN,1,2,7,1.7,NA,NA,1069
PI 533986,LN,1,2,9,1.7,0.7,NA,1089
PI 659696,LN,1,10,12,1.7,0.6,0.5,1111
PI 534124,LN,1,5,17,1.7,2.1,NA,1166
PI 655995,LN,1,13,4,1.7,1.8,1.3,1218
PI 601816,LN,1,16,17,1.7,1.5,2,1345
PI 655986,LN,1,6,12,1.8,1,NA,1115
PI 655997,LN,1,7,17,1.8,0.3,1.1,1164
PI 656015,LN,1,13,11,1.8,1.4,0.4,1288
PI 595739,LN,1,19,16,1.8,0.8,NA,1332
PI 533760,HN,2,36,8,1.8,NA,NA,2255
PI 533799,LN,1,4,9,1.9,0.9,NA,1087
PI 534099,LN,1,10,11,1.9,NA,NA,1101
PI 641824,LN,1,1,17,1.9,1.4,0.4,1170
PI 656087,LN,1,1,11,2,0.9,NA,1110
PI 533957,LN,1,8,12,2,0.6,1.5,1113
PI 576428,LN,1,8,17,2.1,0.7,0.9,1163
PI 533824,LN,1,7,7,2.3,0.4,NA,1064
PI 656108,LN,1,6,18,2.3,1,NA,1175
PI 597950,HN,2,28,7,2.3,3.3,2,2063
PI 576380,LN,1,2,1,2.4,NA,NA,1009
PI 533788,LN,1,18,9,2.4,NA,NA,1263
PI 533824,HN,2,21,10,2.5,4.5,7.6,2100
PI 656086,LN,1,13,16,2.6,NA,NA,1338
PI 533821,LN,1,17,18,2.6,NA,NA,1354
PI 533876,HN,2,28,9,2.6,4.8,3,2083
PI 656104,HN,2,31,13,2.6,5.6,6.2,2310
PI 656078,LN,1,17,5,2.7,0.8,NA,1224
